,Cluster_0,Cluster_3,Cluster_5,Cluster_6,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_14,Cluster_16,Cluster_17,Cluster_18,Cluster_19
Cluster_0,1.0,0.28691967879863256,0.277224655387248,0.310385079988139,0.5539288527805836,0.6580258855647342,0.42661550292257155,0.23217383769892114,0.16379798345235835,0.2217759031960263,0.21473965501226264,0.30559613500932276,0.25035194723725107
Cluster_3,0.28691967879863256,1.0,0.5161959601055917,0.6895222902249974,0.4284537265476207,0.5771466457864316,0.3647518269069234,0.36921849051237415,0.6919188887908699,0.6970305115298724,0.2770603120361477,0.1719132639678455,0.27396875464520104
Cluster_5,0.277224655387248,0.5161959601055917,1.0,0.5282735261075203,0.3444466633748312,0.4475608558165908,0.42235493760926107,0.3256627708991277,0.2931632865084498,0.2973996648322672,0.6504252901534192,0.3119206144417473,0.5734075437869384
Cluster_6,0.310385079988139,0.6895222902249974,0.5282735261075203,1.0,0.457907098984838,0.5673644845567274,0.8188651294681695,0.3388148367973415,0.34721616537844635,0.4433229455739738,0.39532265446053966,0.4030462930036681,0.4835473741193995
Cluster_8,0.5539288527805836,0.42845372654762065,0.34444666337483126,0.45790709898483795,1.0,0.5390818645643366,0.46865386100683254,0.24501445845950318,0.3147976550529246,0.3607087687715182,0.2998563016514447,0.3322202887182897,0.2914967369048419
Cluster_9,0.6580258855647342,0.5771466457864316,0.4475608558165908,0.5673644845567274,0.5390818645643365,1.0,0.5819110257966015,0.30856219433196935,0.2653819125792753,0.356128899831737,0.3316745946750048,0.3473123707528609,0.3801013782010287
Cluster_10,0.4266155029225716,0.3647518269069234,0.4223549376092611,0.8188651294681696,0.46865386100683254,0.5819110257966015,1.0,0.26369048884907276,0.12275008420740476,0.242685993433936,0.40155561856219274,0.5452282973540629,0.553984571126139
Cluster_11,0.2321738376989211,0.36921849051237415,0.3256627708991277,0.33881483679734153,0.2450144584595032,0.30856219433196935,0.26369048884907276,1.0,0.19056743495562553,0.21057413688719653,0.24121241188278447,0.15638507485318096,0.2786851867065679
Cluster_14,0.16379798345235835,0.6919188887908699,0.2931632865084498,0.34721616537844635,0.31479765505292456,0.2653819125792753,0.12275008420740476,0.19056743495562553,1.0,0.6439539366414854,0.12941156900714612,0.0999456900592908,0.09216098286772188
Cluster_16,0.22177590319602627,0.6970305115298724,0.29739966483226715,0.4433229455739738,0.36070876877151814,0.356128899831737,0.242685993433936,0.2105741368871965,0.6439539366414854,1.0,0.1449177472852012,0.13560556078488584,0.13243273874554282
Cluster_17,0.21473965501226264,0.2770603120361477,0.6504252901534193,0.39532265446053966,0.2998563016514447,0.33167459467500476,0.4015556185621928,0.24121241188278444,0.12941156900714612,0.14491774728520124,1.0,0.3542779786905247,0.6607451737849602
Cluster_18,0.30559613500932276,0.1719132639678455,0.3119206144417473,0.4030462930036681,0.3322202887182897,0.34731237075286087,0.5452282973540629,0.15638507485318096,0.0999456900592908,0.13560556078488584,0.3542779786905247,0.9999999999999998,0.3949947946887334
Cluster_19,0.25035194723725107,0.27396875464520104,0.5734075437869384,0.48354737411939946,0.29149673690484185,0.3801013782010287,0.553984571126139,0.2786851867065679,0.09216098286772187,0.13243273874554282,0.6607451737849603,0.39499479468873333,1.0
