0,3,5,6,8,9,10,11,14,16,17,18,19
Plp1,Cplx2,Cldn5,Slc1a2,Gpr17,Mbp,Gfap,Tmem119,Gria1,Snhg11,Pdgfrb,Sox9,Apoe
Mag,Atp1a3,Sema7a,Htra1,Sox10,Plp1,Sparcl1,Cx3cr1,Grin2a,Gad1,Sparcl1,Slc38a1,Igfbp2
Cldn11,Camk2a,Igf1r,Atp1a2,Olig2,Cldn11,Aqp4,Csf1r,Camk2b,Cplx1,Rgs4,Vim,Atp1a2
Gsn,Calm1,Apcdd1,Glul,Olig1,Lpar1,Ntsr2,C1qb,Nsf,Slc32a1,Cspg4,Foxj1,Sparcl1
Mbp,Eef1a2,Ptprm,Sparcl1,Vcan,Mag,Atp1a2,Laptm5,Dnm1,Atp1a3,Apcdd1,Idh2,Gfap
Nfasc,Shank1,Cdh5,Apoe,Cspg4,Gsn,Atp1b2,Vsir,Grin1,Stxbp1,Flna,Ccdc153,Apcdd1
Mog,Epb41l1,Lef1,Atp1b2,Nlgn2,Gfap,Apoe,C1qa,Epha7,Slc6a1,Syne2,Clu,Bmp7
Bin1,Cplx1,Pecam1,Ntsr2,Itpr2,Cstb,Htra1,P2ry12,Epha4,Erbb4,Cldn5,Id4,Glul
Cntn2,Slc1a2,Ptprb,Clu,Mpzl1,Gng8,Slc6a11,Hpgds,Syp,Grik1,Vim,Sox2,Vim
Sox10,Dnm1,Ccdc141,Slc6a11,Mbp,Itgav,Mbp,Sall1,Gria2,Syt1,Cobll1,Zbtb20,Gnai2
