names,scores,logfoldchanges,pvals,pvals_adj,group,sample_id
Eef1a2,10.606547,1.376857,2.7782612999576457e-26,3.8101869256562e-24,3,p30_R3_mut
Shank1,10.040125,1.7934068,1.0154549015453903e-23,8.862151868032498e-22,3,p30_R3_mut
Epb41l1,9.589087,1.1381638,8.886817616887081e-22,6.093817794436856e-20,3,p30_R3_mut
Cplx1,7.6208262,1.5918988,2.5205697470055962e-14,7.805635345565717e-13,3,p30_R3_mut
Slc1a2,6.876658,0.88555294,6.127295616279966e-12,1.307156398139726e-10,3,p30_R3_mut
Dnm1,6.2631216,0.8844213,3.773463281182108e-10,6.139872457516651e-09,3,p30_R3_mut
Stx1b,6.0936856,1.1155539,1.1034040138884956e-09,1.6296428512814707e-08,3,p30_R3_mut
Syp,5.5351505,0.87505054,3.1096151067864354e-08,3.4312994281781357e-07,3,p30_R3_mut
Dlgap1,3.9897285,0.8368341,6.614899373696044e-05,0.00038777381889755274,3,p30_R3_mut
Dlg4,3.872603,2.1688347,0.00010767913484407906,0.0005906969682875194,3,p30_R3_mut
Grk2,3.7988193,0.8747005,0.0001453870335175527,0.0007753975120936143,3,p30_R3_mut
Gnas,3.551959,0.9244711,0.0003823742868494313,0.001790630806709532,3,p30_R3_mut
Syn1,3.407821,0.90539163,0.0006548383121985196,0.0028705241082674833,3,p30_R3_mut
Vamp2,3.0460777,1.0995301,0.0023184791548992857,0.008938714814069534,3,p30_R3_mut
Slc17a7,2.9194028,0.75595516,0.00350702628923353,0.012949020144862265,3,p30_R3_mut
Map2,2.7659001,1.5688317,0.005676592789929217,0.019462603851185884,3,p30_R3_mut
Cdk5r2,2.3599446,1.3878711,0.01827766701046379,0.052274640594874126,3,p30_R3_mut
Gnb1,2.2354329,0.73050785,0.025388943557572333,0.06810992556681661,3,p30_R3_mut
Camk2b,2.1930408,0.39966232,0.028304434058723953,0.07444453889417807,3,p30_R3_mut
Sparcl1,2.076522,0.16054325,0.03784567765116631,0.0966272620880842,3,p30_R3_mut
Apba1,1.9882824,0.98265857,0.04678045556847811,0.11574545707664687,3,p30_R3_mut
Gng7,1.8263118,0.8809187,0.06780330726019135,0.15760575053216389,3,p30_R3_mut
Shank3,1.8176857,0.87423766,0.06911218703580765,0.15938550055392367,3,p30_R3_mut
Adcy1,1.807213,0.50752234,0.07072907682184496,0.1612824554607391,3,p30_R3_mut
