0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Snhg11,Tcf7l2,Pou3f3,Snhg11,Neurod2,Slc6a11,Satb2,Ubc,Nfib,Sox1,Cadm1,Cldn5,Gria1,Gabbr1,Pdgfra,Mpped1,Atp1a2,Pax6,Pdgfrb,C1qb,Apoe
Dnm1,Srgap1,Gng10,Gria2,Nfib,Mfge8,Neurod2,Tcf7l2,Pou3f3,Nfib,Stxbp1,Sparcl1,Erbb4,Nrp2,Olig2,Satb2,Bmp7,Cacna2d1,Sparcl1,Laptm5,Clu
Atp1a3,Snhg11,Mdga1,Lef1,Cadm1,Ptprz1,Itpr1,Stxbp1,Nfix,Pou3f3,Gria1,Apcdd1,Nxph1,Msi2,Sox10,Pou3f3,Cdh5,Chd7,Atp1a2,Csf1r,Pou3f3
Stxbp1,Sdc3,Cd70,Frrs1l,Neurod6,Sox9,Mpped1,Atp1a3,Neurod2,Erbb4,Stmn2,Cdh5,Lhx6,Tcf7l2,Cntn1,Nfix,Vim,Neurod1,Sema6d,Apoe,Ccdc80
Ubc,Stmn2,Prex2,Atp1a3,Fezf2,Atp1a2,Plxna4,Tubb3,Satb2,Dlx2,Grm3,Pecam1,Ptprm,Gria1,Cspg4,Foxg1,Sparcl1,Htra1,Lamb1,Pld4,Nr2e1
Gria1,Epha4,Creb1,Tcf7l2,Dync1i1,Fabp7,Neurod6,Stap1,Nrp1,Sox4,Cdh2,Vim,Mpped1,Nr4a2,Chd7,Crmp1,Col3a1,Bmp7,Apcdd1,Hpgds,Vim
Cadm1,Cacna1b,Plcb1,Srgap1,Mpped1,Ptch1,Nfix,Tuba1b,Ptprs,Meis2,Tubb3,Ptprm,Cux2,Robo1,Gpr17,Plxna4,Pdgfra,Tet2,Rgs4,C1qa,Gnao1
Grin1,Grin3a,Cdk6,Epha4,Nfix,Nfib,Cnr1,Kcnk4,Sox11,Ptprs,Pax6,Mpzl1,Ncam1,Syt6,Ptprz1,Trpc4,Slc6a13,Jam2,Cspg4,Mrc1,Sox9
Fxyd6,Stxbp1,Cldn5,Adcy1,Nrcam,Egfr,Foxg1,Cplx3,Zbtb20,Sox11,Sptan1,Ccdc141,Atp1a3,Slc17a6,Olig1,Neo1,Glul,Ccnd2,Cldn5,Ptprj,Atp1a2
Epb41l1,Prox1,Mfng,Stxbp1,Sparcl1,Zbtb20,Gria2,Pdcd1lg2,Gria2,Gad1,Lhx1,Sema7a,Gng2,Epha7,Kcnd2,Ncam1,Cxcl12,Sall1,Cdh5,Cx3cr1,Sall3
