2,4,5,6,7,8,9,10,11,12,14,15,16,19
Plcb1,Atp1a3,Mfge8,Satb2,Ubc,Zbtb20,Erbb4,Chd6,Cldn5,Gria1,Pdgfra,Neo1,Sparcl1,C1qb
Mdga1,Cadm1,Atp1a2,Itpr1,Stxbp1,Ptprs,Sox1,Pax6,Sparcl1,Erbb4,Olig2,Atp1a3,Atp1a2,Csf1r
Cd70,Nr4a2,Sox9,Plxna4,Snhg11,Nfib,Gad1,Plxnb1,Apcdd1,Nxph1,Sox10,Robo1,Col3a1,Laptm5
Prex2,Nrcam,Vim,Gria2,Atp1a3,Sox11,Sox4,Id4,Cdh5,Ptprm,Chd7,Grik2,Bmp7,Apoe
Gng10,Gria2,Sparcl1,Slitrk1,Gabra4,Nfix,Cnr1,Chd7,Vim,Atp1a3,Cntn1,Crmp1,Apcdd1,C1qa
Cdk6,Grik3,Olig2,Cadm1,Ndnf,Gria2,Sox2,Cdh2,Ubc,Lhx6,Olig1,Gnao1,Cxcl12,Pld4
Robo1,Stxbp1,Slc6a11,Neurod2,Gabra5,Epha4,Dlx2,Vcan,Ptprm,Cux2,Cspg4,Ncam1,Pdgfra,Mrc1
Creb1,Fezf2,Slc1a2,Ncam1,Atp6v0d1,Nrp1,Slc32a1,Tnfrsf19,Sema7a,Dnm1,Kcnd2,Fezf2,Lamb1,Hpgds
Itgb2l,Dync1i1,Fabp7,Cacna2d1,Pak6,Ttc28,Dlx1,Cdh4,Mpzl1,Grik3,Kcnip3,Dpysl2,Axin2,Ubc
Pou3f3,Crmp1,Ptprz1,Tubb3,Trp73,Satb2,Nfib,Apcdd1,Pecam1,Epb41l1,Ubc,Gria1,Ubc,Ptprj
