,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_16,Cluster_17,Cluster_18
Cluster_0,0.9999999999999999,0.7916481738394566,0.48689510963412175,0.34099713231781975,0.4976106380353199,0.5479314502597277,0.4866821610728887,0.5430480606606437,0.1770225642002433,0.4468044948322839,0.35506867012737703,0.5509940722770361,0.090685494624424,0.4368829483853918,0.11898325790744668,0.09517061880691048
Cluster_1,0.7916481738394566,0.9999999999999999,0.6333764698570814,0.441779428544949,0.5902009025568148,0.6947950975807761,0.4309529160751749,0.7087899069700673,0.19427501718186588,0.4028218410390539,0.33335646355933013,0.7033612947295167,0.09525033670659558,0.42417899681382193,0.10440359782608602,0.06637120992219325
Cluster_2,0.4868951096341218,0.6333764698570815,1.0,0.6434248045491012,0.7754034263030919,0.643888120304727,0.3153995072214601,0.6481842390668553,0.15892586182427967,0.26877159060748074,0.314165509254631,0.7325182859353497,0.06591408405630071,0.33831286792025805,0.06126702673560999,0.045364113948496605
Cluster_3,0.3409971323178197,0.441779428544949,0.6434248045491013,1.0,0.49317813698597496,0.5020838519320526,0.21798223161890487,0.5089987668079033,0.12451330055528995,0.18179805565187818,0.21732455484172344,0.5569280098690569,0.05453866367139148,0.2502640985582145,0.06037008382237441,0.02647046238288255
Cluster_4,0.49761063803531985,0.5902009025568148,0.7754034263030919,0.49317813698597496,1.0,0.5754171906972757,0.3529835208471289,0.5474138400092466,0.17101357788100335,0.31526286942247916,0.3299773279287767,0.6764670711386661,0.07120464310845494,0.31604361571376555,0.07279636461668845,0.04816514390701931
Cluster_5,0.5479314502597277,0.6947950975807761,0.6438881203047271,0.5020838519320526,0.5754171906972756,1.0,0.279512188644492,0.6976136451863657,0.16749940817798337,0.25189151042721647,0.2803377438243871,0.6683986051725269,0.07009135469346753,0.29114320500094787,0.08519492885429969,0.04542853736213378
Cluster_6,0.4866821610728887,0.4309529160751749,0.3153995072214601,0.21798223161890487,0.3529835208471289,0.279512188644492,1.0,0.2846025408297591,0.3098249516178759,0.6849213154084121,0.4492893714642949,0.4439672180531167,0.24989811607755016,0.4222632886808649,0.1331738378010111,0.2186864227891868
Cluster_7,0.5430480606606437,0.7087899069700673,0.6481842390668554,0.5089987668079032,0.5474138400092466,0.6976136451863657,0.2846025408297591,1.0,0.17332749852121168,0.2724695734397892,0.29748256763213465,0.6743512407609559,0.0773942775047517,0.3078295268259176,0.06455348053515897,0.04111013423968501
Cluster_8,0.17702256420024326,0.19427501718186585,0.15892586182427967,0.12451330055528996,0.17101357788100335,0.16749940817798337,0.3098249516178759,0.17332749852121168,1.0,0.3220899613287206,0.2094871836524821,0.2787919224452121,0.4561886656295499,0.21238573734179703,0.12939702072689863,0.19392157030994867
Cluster_11,0.4468044948322839,0.40282184103905383,0.26877159060748074,0.18179805565187818,0.31526286942247916,0.2518915104272164,0.6849213154084121,0.2724695734397892,0.3220899613287206,0.9999999999999998,0.4355759057429559,0.3634126725786537,0.20420224741632617,0.39765687730387983,0.1659494548912685,0.16557892463658738
Cluster_12,0.35506867012737703,0.33335646355933013,0.31416550925463105,0.21732455484172344,0.32997732792877676,0.2803377438243871,0.4492893714642948,0.29748256763213465,0.20948718365248212,0.43557590574295596,1.0,0.37817449228100275,0.18520323359749932,0.28924713288398834,0.06952866429476012,0.14070499173484918
Cluster_13,0.5509940722770361,0.7033612947295167,0.7325182859353497,0.5569280098690569,0.6764670711386661,0.6683986051725269,0.44396721805311673,0.6743512407609558,0.27879192244521206,0.3634126725786536,0.3781744922810028,1.0,0.1617765536054197,0.3594570761497696,0.122957907817331,0.11670043426767375
Cluster_14,0.090685494624424,0.09525033670659558,0.06591408405630071,0.05453866367139148,0.07120464310845494,0.07009135469346754,0.24989811607755014,0.0773942775047517,0.4561886656295499,0.20420224741632617,0.18520323359749932,0.16177655360541968,0.9999999999999999,0.16730880753674074,0.16432914113364663,0.17713333797689776
Cluster_16,0.4368829483853918,0.424178996813822,0.338312867920258,0.2502640985582145,0.3160436157137655,0.2911432050009479,0.4222632886808649,0.3078295268259176,0.21238573734179703,0.3976568773038799,0.28924713288398834,0.3594570761497696,0.1673088075367407,1.0,0.07577158179796341,0.08804526831645318
Cluster_17,0.11898325790744667,0.10440359782608602,0.06126702673560999,0.0603700838223744,0.07279636461668845,0.0851949288542997,0.1331738378010111,0.06455348053515896,0.12939702072689863,0.1659494548912685,0.06952866429476012,0.122957907817331,0.1643291411336466,0.0757715817979634,1.0,0.056824727125964626
Cluster_18,0.09517061880691047,0.06637120992219325,0.04536411394849661,0.02647046238288255,0.04816514390701931,0.04542853736213378,0.2186864227891868,0.041110134239685014,0.19392157030994867,0.16557892463658738,0.14070499173484916,0.11670043426767376,0.17713333797689773,0.08804526831645318,0.056824727125964626,1.0
