0,1,2,3,4,5,6,7,8,11,12,13,14,16,17,18
Pou3f3,Gria2,Atp1a3,Tcf7l2,Erbb4,Gria2,Fabp7,Atp1a3,Sparcl1,Cenpf,Olig2,Ubc,Sparcl1,Reln,Laptm5,Clic6
Meis2,Nrp1,Snhg11,Snhg11,Gria1,Trpc4,Ptprz1,Grik3,Cdh5,Top2a,Chd7,Stxbp1,Atp1a2,Chd7,C1qb,Syne2
Sox11,Zbtb20,Dnm1,Ntm,Sox1,Atp1a3,Sox9,Cadm1,Cldn5,Mki67,Pdgfra,Atp1a3,Col3a1,Nhlh2,Apoe,Cdh3
Ptprs,Gria1,Stxbp1,Srgap1,Trpc4,Nrcam,Atp1a2,Gria2,Ubc,Chd7,Cntn1,Gng2,Cdh5,Nfib,Csf1r,Dsp
Foxg1,Epha4,Gria1,Atp1a3,Sox2,Foxg1,Slc1a2,Fezf2,Apcdd1,Pax6,Ptprz1,Cplx2,Apcdd1,Bin1,Ptprj,Sox9
Nfib,Neurod2,Gabbr1,Dnm1,Cux2,Stx1b,Pou3f3,Neurod2,Ptprm,Nfib,Cspg4,Stmn2,Bmp7,Ptprs,Mrc1,Kit
Neurod2,Grik2,Robo1,Cadm1,Atp1a3,Plxna4,Pax6,Dync1i1,Vim,Sox9,Sox10,Syt6,Ubc,Cacna2d1,Pld4,Tead1
Gria2,Neurod6,Cadm1,Stxbp1,Grik1,Ncam1,Chd7,Nrcam,Trim25,Cenpe,Egfr,Syt1,Cxcl12,Rgs4,Hpgds,Ubc
Pou3f2,Foxg1,Erbb4,Cntn4,Cadm1,Tubb3,Ccdc80,Grm3,Mpzl1,Ccdc80,Erbb4,Grik1,Bmp5,Cdh4,Grk2,Clu
Sox4,Atp1a3,Gng2,Bin1,Nxph1,Cnr1,Ccnd2,Kit,Igf1r,Nfia,Sall3,Gad1,Axin2,Snhg11,Ubc,Chd2
