,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18
Cluster_0,0.9999999999999999,0.7916481738394566,0.48689510963412175,0.34099713231781975,0.4976106380353199,0.5479314502597277,0.4866821610728887,0.5430480606606437,0.1770225642002433,0.18515971771359804,0.27468185774213044,0.4468044948322839,0.35506867012737703,0.5509940722770361,0.090685494624424,0.3120111182433151,0.436882948385391,0.11898325790744643,0.09517061880691041
Cluster_1,0.7916481738394566,0.9999999999999999,0.6333764698570814,0.441779428544949,0.5902009025568148,0.6947950975807761,0.4309529160751749,0.7087899069700673,0.19427501718186588,0.21500794143375343,0.33027139658595417,0.4028218410390539,0.33335646355933013,0.7033612947295167,0.09525033670659558,0.3135538707268874,0.4241789968138219,0.10440359782608602,0.06637120992219327
Cluster_2,0.4868951096341218,0.6333764698570815,1.0,0.6434248045491012,0.7754034263030919,0.643888120304727,0.3153995072214601,0.6481842390668553,0.15892586182427967,0.2872081181077751,0.31255701601719965,0.26877159060748074,0.314165509254631,0.7325182859353497,0.06591408405630071,0.23720712692948404,0.3383128679202579,0.06126702673560992,0.045364113948496536
Cluster_3,0.3409971323178197,0.441779428544949,0.6434248045491013,1.0,0.49317813698597496,0.5020838519320526,0.21798223161890487,0.5089987668079033,0.12451330055528995,0.23408137456571945,0.22818413251817068,0.18179805565187818,0.21732455484172344,0.5569280098690569,0.05453866367139148,0.20553675811895647,0.25026409855821463,0.060370083822374514,0.026470462382882514
Cluster_4,0.49761063803531985,0.5902009025568148,0.7754034263030919,0.49317813698597496,1.0,0.5754171906972757,0.3529835208471289,0.5474138400092466,0.17101357788100335,0.3054442073828376,0.2814644825796037,0.31526286942247916,0.3299773279287767,0.6764670711386661,0.07120464310845494,0.2031546079132469,0.31604361571376566,0.07279636461668855,0.04816514390701926
Cluster_5,0.5479314502597277,0.6947950975807761,0.6438881203047271,0.5020838519320526,0.5754171906972756,1.0,0.279512188644492,0.6976136451863657,0.16749940817798337,0.1972016301374229,0.3215405023758857,0.25189151042721647,0.2803377438243871,0.6683986051725269,0.07009135469346753,0.2186249679949643,0.2911432050009476,0.08519492885429968,0.045428537362133814
Cluster_6,0.4866821610728887,0.4309529160751749,0.3153995072214601,0.21798223161890487,0.3529835208471289,0.279512188644492,1.0,0.2846025408297591,0.3098249516178759,0.16395159127962766,0.12188396786263274,0.6849213154084121,0.4492893714642949,0.4439672180531167,0.24989811607755016,0.2635955453037346,0.422263288680865,0.13317383780101105,0.21868642278918685
Cluster_7,0.5430480606606437,0.7087899069700673,0.6481842390668554,0.5089987668079032,0.5474138400092466,0.6976136451863657,0.2846025408297591,1.0,0.17332749852121168,0.1927280204116115,0.3056810699491618,0.2724695734397892,0.29748256763213465,0.6743512407609559,0.0773942775047517,0.2741939570362451,0.3078295268259176,0.06455348053515897,0.04111013423968499
Cluster_8,0.17702256420024326,0.19427501718186585,0.15892586182427967,0.12451330055528996,0.17101357788100335,0.16749940817798337,0.3098249516178759,0.17332749852121168,1.0,0.1105426532000287,0.04470246429650487,0.3220899613287206,0.2094871836524821,0.2787919224452121,0.4561886656295499,0.13993661743985666,0.21238573734179703,0.12939702072689863,0.19392157030994886
Cluster_9,0.18515971771359804,0.2150079414337534,0.2872081181077751,0.23408137456571945,0.30544420738283756,0.19720163013742287,0.1639515912796277,0.1927280204116115,0.1105426532000287,1.0,0.08090389561353273,0.13579250177914445,0.13800837726105278,0.26069105600401415,0.08742419342778183,0.08020693574606519,0.14034497453282585,0.03894762406024375,0.045332062235499376
Cluster_10,0.27468185774213044,0.33027139658595417,0.3125570160171997,0.22818413251817068,0.2814644825796037,0.3215405023758857,0.12188396786263272,0.3056810699491618,0.04470246429650487,0.08090389561353273,1.0,0.09358246624283026,0.11229218642103303,0.32543411633815766,-0.0018144696774914674,0.12227896166591452,0.12140997774022162,0.006887319431818613,-0.0019081947050301658
Cluster_11,0.4468044948322839,0.40282184103905383,0.26877159060748074,0.18179805565187818,0.31526286942247916,0.2518915104272164,0.6849213154084121,0.2724695734397892,0.3220899613287206,0.13579250177914445,0.09358246624283027,0.9999999999999998,0.4355759057429559,0.3634126725786537,0.20420224741632617,0.24994753333564557,0.39765687730387983,0.1659494548912686,0.1655789246365872
Cluster_12,0.35506867012737703,0.33335646355933013,0.31416550925463105,0.21732455484172344,0.32997732792877676,0.2803377438243871,0.4492893714642948,0.29748256763213465,0.20948718365248212,0.13800837726105275,0.11229218642103304,0.43557590574295596,1.0,0.37817449228100275,0.18520323359749932,0.16081728582230892,0.28924713288398834,0.06952866429476012,0.14070499173484918
Cluster_13,0.5509940722770361,0.7033612947295167,0.7325182859353497,0.5569280098690569,0.6764670711386661,0.6683986051725269,0.44396721805311673,0.6743512407609558,0.27879192244521206,0.26069105600401415,0.3254341163381577,0.3634126725786536,0.3781744922810028,1.0,0.1617765536054197,0.26538137237811565,0.3594570761497696,0.122957907817331,0.11670043426767375
Cluster_14,0.090685494624424,0.09525033670659558,0.06591408405630071,0.05453866367139148,0.07120464310845494,0.07009135469346754,0.24989811607755014,0.0773942775047517,0.4561886656295499,0.08742419342778185,-0.0018144696774914674,0.20420224741632617,0.18520323359749932,0.16177655360541968,0.9999999999999999,0.0944178670610357,0.16730880753674074,0.16432914113364663,0.17713333797689776
Cluster_15,0.31201111824331507,0.3135538707268874,0.23720712692948404,0.2055367581189565,0.20315460791324688,0.21862496799496434,0.2635955453037346,0.2741939570362451,0.13993661743985664,0.08020693574606519,0.12227896166591452,0.24994753333564557,0.16081728582230892,0.26538137237811565,0.0944178670610357,0.9999999999999999,0.2999992940491054,0.11278922515595337,0.060371891351086795
Cluster_16,0.436882948385391,0.4241789968138219,0.3383128679202579,0.25026409855821463,0.31604361571376566,0.2911432050009476,0.422263288680865,0.30782952682591763,0.21238573734179703,0.14034497453282588,0.12140997774022164,0.3976568773038799,0.28924713288398834,0.3594570761497696,0.1673088075367407,0.29999929404910547,1.0,0.07577158179796341,0.08804526831645318
Cluster_17,0.11898325790744645,0.10440359782608602,0.06126702673560992,0.06037008382237451,0.07279636461668854,0.08519492885429969,0.13317383780101105,0.06455348053515897,0.12939702072689863,0.03894762406024375,0.006887319431818613,0.1659494548912686,0.06952866429476012,0.122957907817331,0.1643291411336466,0.11278922515595338,0.0757715817979634,1.0,0.056824727125964626
Cluster_18,0.09517061880691041,0.06637120992219327,0.045364113948496536,0.026470462382882514,0.04816514390701926,0.045428537362133814,0.21868642278918685,0.04111013423968498,0.19392157030994883,0.045332062235499376,-0.0019081947050301658,0.16557892463658716,0.14070499173484916,0.11670043426767376,0.17713333797689773,0.06037189135108679,0.08804526831645318,0.056824727125964626,1.0
