1,2,3,9,11,0.0,5,0.1,6,10,0.2,0.3,17,16,22,13,19,7,21,8,20,23,12,15,4,18
Atp1a2,Gria1,Cdh5,Neurod1,Nfib,Ubc,Atp1a3,Gria1,Hopx,Pdgfra,Zbtb20,Ubc,Neurog2,Laptm5,Emx2,Npy2r,Fgfr1,Bhlhe22,Reln,Gria1,Slc38a1,Pdlim4,Plp1,Ptprm,Neurod1,Dsp
Sparcl1,Epha6,Cldn5,Zbtb20,Chd7,Atp1a3,Snhg11,Atp1a3,Dio2,Olig2,Nfib,Prkca,Cxcr4,Csf1r,Zbtb20,Gria1,Nfib,Stxbp1,Ndnf,Dsp,Foxj1,Atp1a2,Ubc,Gnai1,Nfib,Grm3
Fabp7,Grin2a,Sparcl1,Nfib,Mki67,Stxbp1,Stxbp1,Grin2a,Atp1a2,Sox10,Prox1,Neurod6,Zbtb20,C1qb,Nfib,Dnm1,Gria2,Atp1a3,Nhlh2,Plxna4,Ccdc153,Cdh2,Gpr17,Myc,Sox4,Tet2
Slc1a2,Atp1a3,Apcdd1,Prox1,Ccnd2,Calm1,Grik1,Gria2,Gfap,Cntn1,Nfia,Stxbp1,Grik2,Hpgds,Prox1,Atp1a3,Epha4,Crmp1,Gfap,Prox1,Vim,Gfap,Gfap,Mdga1,Ptprs,Zbtb20
Gfap,Gria2,Vim,Sox11,Pou3f3,Gng4,Dnm1,Stxbp1,Grm3,Gpr17,Sox11,Atp1a3,Gria1,P2ry12,Epha4,Grin2a,Zbtb20,Ubc,Rgs4,Ptprj,Sox9,Nfib,Sox10,Gabra4,Nfia,Cldn2
Grm3,Snhg11,Ptprm,Gria2,Top2a,Six3,Erbb4,Bin1,Slc1a2,Cspg4,Epha4,Crmp1,Sox11,Cx3cr1,Neurod1,Crmp1,Grik2,Neurod6,Cacna2d1,Dnm1,Clu,Ccdc80,Itpr2,Ptpn11,Dcc,Rnd3
Htra1,Neurod6,Atp1a2,Epha4,Ptprs,Tubb3,Gad1,Grin2b,Fabp7,Nlgn2,Ptprs,Nrp1,Ptprs,Sall1,Sema6d,Epha6,Sox11,Ppp3cb,Msi2,Epha4,Atp1a1,Cplx2,Cldn11,Eef1a2,Zbtb20,Gabra3
Ptprz1,Dnm1,Lef1,Plxna4,Meis2,Hmgb2,Cux2,Grik2,Aqp4,Sdc3,Gria2,Nsf,Epha4,Pld4,Sox11,Neurod6,Nfia,Nrp1,Bin1,Grin1,Idh2,Apoe,Shank1,Sdc4,Btg1,Cntn6
Aqp4,Crmp1,Gnai2,Ptprs,Cenpf,Sst,Gria1,Epha7,Htra1,Olig1,Grik2,Gabra5,Plxna4,Mrc1,Ptprs,Snhg11,Neurod1,Cfl1,Cxcl12,Epha7,Id4,Sox4,Fabp7,Itga8,Nfix,Ntn1
Slc6a11,Nr4a3,Trim25,Nfia,Syne2,Atp6v1b1,Stmn2,Dnm1,Sparcl1,Erbb4,Nfix,Dnm1,Nfib,Ptprj,Chd7,Gria2,Prox1,Bin1,Snhg11,Cadm1,Rgs4,Fabp7,Gsn,Pard6g,Vcan,Itga4
Glul,Epha7,Igf1r,Grik2,Pax6,Prkcb,Nxph1,Trpc4,Sox9,Ptprz1,Sox4,Stmn2,Sox4,Bin1,Huwe1,Stxbp1,Cdh2,Neurod2,Trp73,Camk2b,Sox2,Srgap3,Mbp,Cd70,Epha4,Cspg4
Sox9,Robo1,Lamb1,Bhlhe22,Draxin,Shh,Grik3,Ppp3cb,Gabbr1,Kcnip3,Tead1,Sptan1,Nfia,Apoe,Sox9,Prkca,Zfp609,Grin1,Robo2,Nsf,Aqp4,Sox11,Atp1a2,Shank2,Limk1,Itpr2
Apoe,Slit3,Mpzl1,Gria1,Pou3f2,Ascl2,Gng2,Nrp1,Ptprz1,Chd7,Chd7,Calm1,Gria2,Grk2,Syne2,Rab3a,Nfix,Epb41l1,Nfib,Frrs1l,Fzd3,Chd2,Apoe,Nfatc3,Map2,Acsl1
