16,9,17,12,8,6,15,5,7,13,2,19,20,3,11,0,14,1
Gria2,Tubb3,Pax6,Col3a1,Cldn5,Sox11,Clic6,Camk2b,Axin2,Gria1,Slitrk4,Csf1r,Trp73,Sox2,Olig2,Epb41l1,Stmn1,Rasgrf2
Zbtb20,Cadm3,Pou3f3,Pdgfra,Sparcl1,Ptprs,Igfbp2,Cadm1,Apcdd1,Erbb4,Evx1,Cx3cr1,Bin1,Sox1,Sox10,Dpysl2,Chd7,Atp1a3
Cntn2,Llgl1,Vim,Lamb1,Cdh5,Meis2,Foxj1,Neurod2,Ccdc80,Atp1a3,Ccdc153,Laptm5,Cacna2d2,Gad1,Cntn1,Astn1,Apcdd1,Ngef
Grik2,Gng10,Sall1,Pdgfrb,Pecam1,Pou3f2,Cdh3,Gria2,Vim,Lhx6,Drd2,C1qb,Reln,Grik3,Sdc3,Cadm1,Rspo3,Grik1
Nfasc,Pou3f3,Mki67,Atp1a2,Ptprm,Foxg1,Ptprm,Grik3,Sox9,Cux2,Kl,Pld4,Nhlh2,Erbb4,Pdgfra,Slc32a1,Nrn1,Kcnb1
Cnr1,Gnao1,Cenpf,Cldn11,Shank3,Nfib,Bmp7,Atp1a3,Vcan,Grik3,Hmgn2,Apoe,Cdh4,Dlx1,Olig1,Ccdc88a,Erbb4,Hspd1
Neurod6,Pax2,Sox9,Cdh5,Gnai2,Robo2,Clu,Dync1i1,Sox2,Slc6a1,Thrsp,C1qa,Nfasc,Gad2,Kcnd2,Fxyd6,Gnao1,Gabrb2
Sox11,Mdga1,Gli3,Gnas,Vim,Neurod2,Itpr1,Neurod6,Plxnb1,Cadm1,Chat,C1qc,Ccnd2,Ccdc88a,Ptprz1,Apba1,Epha7,Gria4
Nfib,Lhx1,Ccdc80,Sparcl1,Cd34,Pou3f3,Kit,Adcy1,Rspo3,Mpped1,Aqp4,Efhd2,Cacna2d1,Dlx2,Nptx2,Atp1a3,Lef1,Ccdc25
Neurod2,Syt2,Meis2,Ubc,Ephb4,Satb2,Glul,Epb41l1,Gnao1,Epb41l1,Cdh15,Mrc1,Ndnf,Slc32a1,Vim,Gria1,Lrp6,Cacna1b
