,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_19,Cluster_20
Cluster_0,1.0,0.35117078007988717,0.35386317776670606,0.5079162998648754,0.4615472310168772,0.42026578901602957,0.2110077966996485,0.09543881972744982,0.07244457362633559,0.22221068201693306,0.08848022856315747,0.659178619942848,0.1597235242738103,0.045576680770744726,0.41280713772176464,0.22450251133395593,0.025442773942354044,0.2685226468767494
Cluster_1,0.35117078007988717,1.0,0.2854697211735741,0.30709679008221497,0.4571662696661011,0.3385129315414184,0.15733043324972143,0.0927103433365594,0.08024420655787118,0.1520865718715645,0.06849906733697732,0.5336861057914646,0.1256050951996042,0.047162618437234884,0.39123693097239653,0.1217170481285801,0.0028479289232815415,0.39683527070518915
Cluster_2,0.35386317776670606,0.2854697211735741,0.9999999999999999,0.3869051312115133,0.5412821719523072,0.5330123994813775,0.293874134685322,0.17417681866760865,0.47014271905809896,0.157791260030672,0.12073226614076671,0.511300705425524,0.2268453572876397,0.10290729225082149,0.5990936323458086,0.3360049287311047,0.08060272127891616,0.2902617320814402
Cluster_3,0.5079162998648754,0.307096790082215,0.3869051312115134,1.0,0.4377471183986753,0.4952079707108403,0.23461028343484167,0.12354867283039934,0.10441021371497655,0.1845710396501786,0.08880946003999912,0.6827051111106124,0.20914508309797036,0.06729172462458514,0.4519546462700001,0.30234201144467726,0.07487278050284019,0.23638576830286018
Cluster_5,0.4615472310168772,0.4571662696661011,0.5412821719523072,0.43774711839867536,1.0,0.678139829706718,0.22540605712280537,0.12308303888730499,0.22091246801463066,0.18976867495913285,0.08269124291275647,0.7138024347106514,0.19364742296312948,0.06430459462596626,0.7851055241260438,0.26802814421395604,0.02616167949329981,0.3327795008382623
Cluster_6,0.42026578901602957,0.33851293154141837,0.5330123994813774,0.4952079707108403,0.678139829706718,0.9999999999999999,0.4038347853307505,0.20015600574938266,0.2962742551895786,0.23938570151714628,0.14305303266053948,0.5930834528452247,0.3411558831931619,0.13687969172516498,0.8695734598664188,0.5798279441104693,0.0809141792799843,0.3759058739704509
Cluster_7,0.2110077966996485,0.15733043324972143,0.293874134685322,0.23461028343484164,0.22540605712280534,0.4038347853307505,0.9999999999999999,0.33532642699129345,0.33227902706838786,0.35713952699136337,0.37238515493993013,0.25797370622757915,0.3866482125002835,0.48615501354993557,0.42551392664534393,0.7327197612397354,0.17419282898564406,0.2873698677821001
Cluster_8,0.09543881972744983,0.0927103433365594,0.17417681866760865,0.12354867283039936,0.12308303888730499,0.20015600574938264,0.33532642699129345,1.0,0.1614974533071159,0.17499697788981927,0.6126837437208468,0.13148570710080715,0.1953049593844419,0.3805431294563634,0.19369513872755523,0.29614132991050274,0.36165120272958123,0.19565857221980465
Cluster_9,0.0724445736263356,0.08024420655787118,0.47014271905809896,0.10441021371497654,0.2209124680146307,0.2962742551895786,0.33227902706838786,0.16149745330711593,0.9999999999999998,0.09039277839479294,0.08912690548387323,0.13753839560961342,0.29066765925250565,0.22113080778657312,0.37048839642504267,0.2979522017975298,0.05552158644031226,0.23978647193739813
Cluster_11,0.22221068201693306,0.15208657187156446,0.157791260030672,0.18457103965017863,0.18976867495913285,0.2393857015171463,0.35713952699136337,0.17499697788981927,0.09039277839479294,1.0,0.20417824294377118,0.21207188851734812,0.14488795741398097,0.1701299383335156,0.24089249328843088,0.3066196946295514,0.06417770444797705,0.16895636524301796
Cluster_12,0.08848022856315747,0.06849906733697732,0.12073226614076672,0.08880946003999912,0.08269124291275647,0.14305303266053948,0.37238515493993013,0.6126837437208468,0.08912690548387324,0.20417824294377118,1.0,0.10029957576044715,0.15068111935659526,0.4083841019930223,0.14552810030221658,0.3051394628424074,0.41329121547442554,0.20333621184305228
Cluster_13,0.659178619942848,0.5336861057914645,0.511300705425524,0.6827051111106124,0.7138024347106514,0.5930834528452247,0.25797370622757915,0.13148570710080715,0.13753839560961342,0.2120718885173481,0.10029957576044717,1.0,0.2075831584199376,0.0715910481511596,0.6145388081651757,0.26581122284703507,0.03359822124176831,0.3660218696399262
Cluster_14,0.15972352427381034,0.1256050951996042,0.2268453572876397,0.20914508309797036,0.1936474229631295,0.3411558831931619,0.3866482125002835,0.1953049593844419,0.29066765925250565,0.14488795741398097,0.15068111935659526,0.20758315841993763,1.0,0.19072829304568958,0.3546503234385568,0.28766721346742863,0.08148166664671826,0.22553154445039694
Cluster_15,0.045576680770744726,0.04716261843723489,0.1029072922508215,0.06729172462458514,0.06430459462596626,0.13687969172516495,0.48615501354993557,0.3805431294563634,0.22113080778657315,0.1701299383335156,0.4083841019930223,0.0715910481511596,0.19072829304568958,1.0,0.1401282657829187,0.32780599208036254,0.1728279189529636,0.159343217036913
