0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Plp1,Grik3,Tcf7l2,Camk2a,Snhg11,Cldn5,Htra1,Atp1a1,Olig2,Mbp,Atp1a2,Tmem119,Slc17a7,Gabbr2,Gria1,Gng7,Gad1,Pdgfrb,Zbtb20,Atp1a2,Gad1,Clic6
Mag,Slc17a7,Rgs16,Calm1,Atp1a3,Apcdd1,Slc1a2,Unc13a,Gpr17,Plp1,Slc6a11,Cx3cr1,Dnm1,Unc13a,Zbtb20,Meis2,Snhg11,Atp1a2,Pou3f3,Igfbp2,Atp1a3,Igfbp2
Gsn,Stxbp1,Atp1a3,Cplx2,Gria1,Igf1r,Atp1a2,Grin2a,Sox10,Cldn11,Agt,Laptm5,Stxbp1,Dnm1,Camk2b,Cplx2,Erbb4,Cspg4,Sox9,Glul,Cplx1,Cldn2
Cldn11,Efhd2,Syp,Eef1a2,Grin1,Sema7a,Glul,Rgs4,Olig1,Gfap,Sparcl1,Csf1r,Nsf,Cadm3,Grin2a,Ngef,Atp1a3,Flna,Vim,Apoe,Six3,Syne2
Mbp,Mpped1,Lef1,Epb41l1,Cacna1b,Pecam1,Sparcl1,Stxbp1,Vcan,Lpar1,Htra1,C1qb,Syp,Tubb3,Epha7,Camk2b,Slc32a1,Apcdd1,Foxj1,Vim,Slc32a1,Clu
Mog,Snhg11,Gabbr1,Slc1a2,Slc32a1,Ptprm,Gnao1,Arhgap32,Cspg4,Mag,Atp1b2,C1qa,Gria1,Cacnb4,Neurod2,Slc32a1,Gria1,Sparcl1,Slc38a1,Bmp7,Pvalb,Atp1a1
Sox10,Dnm1,Shank3,Atp1a3,Syp,Ptprb,Pou3f3,Camk2a,Pdgfra,Slc6a2,Ntsr2,Vsir,Sptan1,Gng10,Epha4,Gnal,Cplx1,Syne2,Nfib,Cdh5,Gad2,Slc38a3
Olig1,Ngef,Cplx1,Syp,Gria2,Cdh5,Atp1b2,Satb2,Itpr2,Gabrr2,Aqp4,P2ry12,Grin2b,Dlgap1,Nsf,Gria1,Slc6a1,Rgs4,Flna,Syne2,Kcnc1,Kl
Nfasc,Grin1,Rgs3,Stxbp1,Grik2,Lef1,Slc6a11,Grin1,Nlgn2,Gngt1,Apoe,Hpgds,Grin2a,Nr4a1,Gria2,Cx3cl1,Srgap3,Vim,Idh2,Gjb6,Limk1,Cntn1
Bin1,Gria2,Snhg11,Dnm1,Huwe1,Pdgfb,Clu,Ngef,Cntn1,Pdcd1lg2,Sox9,Sall1,Srgap3,Plcb1,Slc17a7,Drd1,Stxbp1,Cldn5,Sox4,Apcdd1,Mbp,Itpr1
