0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Snhg11,Bcl11b,Mpped1,Neurod2,Atp1a3,Cacna2d1,Sparcl1,Sox1,Plxna1,Slc6a11,Tcf7l2,Pax6,Cntn2,Lhx6,Col3a1,Tbr1,Tubb3,Vim,Nkx2-1,Clic6,Pdgfra,Nfix,Csf1r
Atp1a3,Meis2,Neurod2,Pou3f3,Snhg11,Nrp2,Cldn5,Epha4,Sox2,Mfge8,Slc1a2,Pou3f3,Nfix,Gria1,Pdgfra,Epha7,Gng10,Apcdd1,Atp1a3,Igfbp2,Olig2,Nfib,C1qb
Dnm1,Robo2,Neurod6,Satb2,Ubc,Mest,Cdh5,Dlx2,Six3,Olig2,Slc17a6,Vim,Neurod6,Erbb4,Lamb1,Neurod2,Cdk6,Axin2,Lhx6,Cdh3,Sox10,Zbtb20,Laptm5
Stxbp1,Syt6,Dync1i1,Ttc28,Mog,Lhx5,Apcdd1,Sox2,Gad1,Ptch1,Gbx2,Epha4,Neurod2,Cux2,Atp1a2,Tafa2,Reln,Rspo3,Robo2,Foxj1,Olig1,Draxin,Cx3cr1
Grin1,Ephb1,Nfib,Neurod6,Tuba1c,Tbr1,Pecam1,Sox11,Grik3,Vim,Cadm1,Mki67,Nfib,Nxph1,Vim,Camk2b,Lhx6,Sox9,Gabrb2,Bmp7,Cspg4,Dcc,Apoe
Ubc,Robo1,Satb2,Gria2,Gnat3,Grik2,Sema6d,Sp9,Fxyd6,Fabp7,Mdga1,Sall1,Nrp1,Mpped1,Cdh5,Neo1,Lhx1,Htra1,Robo1,Itpr1,Gpr17,Chd7,Pld4
Gria1,Grik2,Foxg1,Plxna4,Cldn16,Snhg11,Vim,Gad1,Efnb3,Atp1a2,Rspo3,Ccdc80,Nr4a3,Gad1,Sparcl1,Cplx2,Syt2,Epha7,Kcnd2,Sox9,Cntn1,Nfia,C1qa
Fxyd6,Srgap1,Cnr1,Robo2,Icam2,Nhlh2,Gnai2,Dlx1,Gad2,Sox9,Efnb3,Gli3,Bhlhe22,Slc6a1,Bmp7,Grin2b,Homer2,Smo,Stxbp1,Atp1a1,Kcnd2,Ptprs,Hpgds
Cacna1b,Epha4,Cntn2,Pou3f2,Stap1,Slc17a6,Ptprm,Sox4,Dlx2,Sox2,Gria1,Boc,Ttc28,Grik3,Pdgfrb,Boc,Creb1,Pax6,Trpc5,Cntn1,Sox9,Plcb1,C1qc
Cadm1,Ngef,Tbr1,Cntn2,Plxnb3,Cacna1b,Lamb1,Grik3,Sox1,Sox1,Id4,Syne2,Gria2,Dlx2,Igfbp2,Cacna2d1,Pax2,Chd7,Sdc3,Clu,Chd7,Ntng2,Mrc1
