,confidence_score
count,45114.0
mean,0.025910569357164147
std,0.1297917272129971
min,4.796753362182687e-07
25%,4.303209474839749e-06
50%,1.9097702622212755e-05
75%,0.00022717902759354663
max,0.9999667337126567
