sample_id,Cajal-Retzius,Unassigned
e16_R1_mut,75,2944
e16_R2_ctrl,129,3616
p0_R5p_mut,3,7508
p0_R6_ctrl,5,4440
p7_R1_mut,0,5073
p7_R2_ctrl,1,9332
p30_R3_mut,3,4075
p30_R4p_ctrl,1,7909
