leiden_new,Cajal-Retzius,Unassigned,All
0,0,6012,6012
1,0,4228,4228
2,0,4150,4150
3,3,3810,3813
4,1,3003,3004
5,0,2573,2573
6,0,2003,2003
7,0,1902,1902
8,0,1871,1871
9,0,1864,1864
10,0,1548,1548
11,0,1520,1520
12,0,1479,1479
13,0,1422,1422
14,0,1364,1364
15,0,926,926
16,0,890,890
17,0,850,850
18,0,767,767
19,0,714,714
20,0,695,695
21,213,472,685
22,0,615,615
23,0,219,219
All,217,44897,45114
