0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Sparcl1,Satb2,Ubc,Satb2,Pdgfra,Erbb4,Atp1a3,Tcf7l2,Cldn5,Meis2,Gria1,Snhg11,Nsf,Stxbp1,Nfib,Zbtb20,Atp1a2,Laptm5,Mbp,Idh2,Reln
Aqp4,Neurod6,Calm1,Cux2,Olig2,Gria1,Tcf7l2,Snhg11,Cdh5,Gng7,Zbtb20,Atp1a3,Cdh4,Tubb3,Meis2,Nfib,Pdgfrb,Csf1r,Gpr17,Atp1a1,Ndnf
Atp1a2,Bin1,Stxbp1,Mef2c,Sox10,Snhg11,Ubc,Lef1,Apcdd1,Ngef,Grin2a,Dnm1,Cadm1,Stmn2,Zbtb20,Epha4,Lamb1,C1qb,Sox10,Slc38a1,Cacna2d1
Slc1a2,Gria2,Atp1a3,Cacna2d1,Gpr17,Atp1a3,Stxbp1,Atp1a3,Ptprm,Gria1,Nrp1,Gria1,Grik2,Epb41l1,Sox4,Neurod1,Sparcl1,Pld4,Plp1,Vim,Gfap
Slc6a11,Flna,Sparcl1,Trpc4,Chd7,Gad1,Gabbr1,Srgap1,Sparcl1,Gnal,Epha6,Syp,Dnm1,Cadm3,Sox1,Sox11,Vim,Hpgds,Itpr2,Sox9,Snhg11
Ptprz1,Stxbp1,Gdf7,Calm1,Cspg4,Nxph1,Calm1,Slc17a6,Vim,Grik2,Epha4,Cadm1,Cacna2d1,Cadm1,Sox11,Prox1,Cdh5,Cx3cr1,Olig2,Foxj1,Bin1
Fabp7,Neurod2,Gabrr2,Nectin3,Cntn1,Grik1,Stmn2,Cntnap1,Pecam1,Syt6,Neurod6,Nsf,Crmp1,Stmn1,Chd7,Gria2,Apcdd1,P2ry12,Nfasc,Ccdc153,Trp73
Htra1,Adcy2,Gngt1,Pou3f3,Kcnip3,Dnm1,Sdc3,Grik2,Cd34,Snhg11,Gria2,Slc32a1,Gnao1,Dlgap1,Ptprs,Nfia,Axin2,Sall1,Mpzl1,Clu,Nfib
Sox9,Nfib,Rbp1,Neo1,Olig1,Ptprm,Slc17a6,Epb41l3,Gnai2,Grin1,Epha7,Ptprs,Grin2b,Cnr1,Sox2,Gria1,Sema6d,C1qa,Tcf7l2,Zbtb20,Diablo
Apoe,Dync1i1,Mog,Pou3f2,Ankrd11,Lhx6,Syp,Frrs1l,Ptprb,Cplx2,Neurod2,Gad1,Epha7,Plcb1,Btg1,Ptprs,Flna,P2ry13,Ptprj,Msi2,Cxcl12
