4,14,3,18,21,5,7,16,2,9,0.0,11,6,17,13,1,19,22,23,10
Plxna2,Sall1,Slc38a3,Atp1a1,Cacna2d1,Gad1,Tubb3,C1qc,Grik3,Prox1,Insm1,Sox9,Insm1,Socs7,Crmp1,Ntrk3,Nrp1,Nfia,Igfbpl1,Pdgfra
Unc13a,Chd7,Mpzl1,Cntn1,Nectin1,Dlx2,Nfib,Itga9,Syp,Nfib,Efna2,Cdh2,Grik2,Pax6,Ptprm,Stx18,Nlgn3,Gria2,Unc13b,Sox9
Nrp1,Boc,Mest,Six3,Vcan,Mpped1,Kcnq3,Bin1,Lrp1,Nfix,Pou3f2,Sun2,Epb41l3,Mfge8,Cux2,Mfge8,Ubc,Grik2,Arid1b,Top2a
Bhlhe22,Id4,Gnas,Ptprm,Slc2a13,Cacna1b,Sptan1,Plcg2,Adcy1,Cplx2,Cd9,Ubc,Lrrc4c,Epha4,Arx,Cntnap1,Lrp8,Ttc28,Zmiz1,Grin1
Nr4a3,Mfge8,Vim,Kit,Robo2,Slc6a1,Cdk5r2,Vsir,Slc17a7,Sema6d,Fgf12,Chd7,Nfib,Grik2,Prickle2,Axin2,Chd6,Lhfpl4,Dab2ip,Nes
Mpped1,Cenpf,Ptprm,Pdgfra,Arhgap32,Sp9,Nfasc,Tmem119,Neurod6,Stxbp1,Mpz,Nr2e1,Cep44,Cdh4,Sox1,Camk2g,Gng2,Ptprs,Nrp1,Erbb4
Robo1,Plxnb1,Cldn11,Trp73,Sema6a,Gad2,Gabrb2,Grk2,Dnm1,Meis2,Pard6a,Gli3,Atp6v1h,Cers2,Chrnb2,Nipbl,Nfasc,Gnao1,Sema4d,Lrrc4b
Stxbp1,Top2a,Pdgfrb,Smo,Ndnf,Arx,Pou3f3,Pik3cd,Neurod2,Coro2b,Slc1a6,Sox1,Vcan,Mapk8,Gad2,Efna5,Creb1,Plxna3,Pou3f3,Fxyd6
Ttc28,Draxin,Cxcl12,Glul,Rspo3,Ptprm,Stxbp1,Ptprc,Grin1,Atp1a3,Nfib,Ptprs,Atp6v1a,Eomes,Nlgn2,Rhoa,Cacnb1,Trpc1,Cacna2d1,Gng3
Sema7a,Tnfrsf19,Pecam1,Plxnb1,Snhg11,Trpc4,Slitrk1,Ptgs1,Ndrg4,Dock7,Epha5,Id4,Fbxw7,Sox4,Slc6a1,Pld4,Slit3,Mdh1,Meis2,Ptprz1
Neurod1,Sema5b,Bmp7,Msi2,Kit,Grik1,Plxna2,Idh2,Tubb3,Sox4,Alg13,Rgma,Mast3,Hes5,Stxbp1,Kras,Ptpn11,Gls,Ankrd11,Nlgn3
Kcnq3,Syne2,Wnt4,Ubc,Fat3,Crmp1,Cldn14,Rhob,Gnai1,Cacna2d1,Bmerb1,Olig2,Camkk1,Vcan,Grik1,Bcl6,Syn1,Fgf13,Lamb1,Itgb1
Gria1,Jun,Cd34,Ptch1,Cadm3,Syt1,Syt6,Huwe1,Bcl11b,Neurod6,Hras,Sall1,Mcm2,Pdcd1lg2,Ccdc88a,Srgap2,Ephb3,Atp6v1a,Syn1,Cdkn2c
Foxg1,Sfxn5,Bmp5,Ccdc141,Unc5b,Cadm1,Gria1,Atp6v0a1,C1qc,Sema7a,Neurod2,Mapk8ip3,Cenpf,Slc6a3,Gad1,Lmnb1,Sema4f,Mdk,Chd6,Grik3
Camk2b,Hes5,Kit,Cldn2,Src,Gng2,Nrp1,Gnai2,Nrcam,Limk1,Mog,Prom1,Mapk8ip3,Insm1,Adcy1,Stxbp6,Flna,Dhx16,Mex3a,Lmnb2
Cacna1b,Nr2e1,Igfbp2,Dsp,Msi2,Sox2,Cldn10,P2ry13,Tbc1d24,Gabrd,Chat,Sdc2,Etv5,Ptprz1,Sox2,Sox9,Sdc3,Etv4,Ptprf,Lmnb1
Nfib,Cdh2,Itpr3,Syne2,Slitrk5,Dlgap1,Vamp4,Ankrd11,Ap2m1,Rras2,Gnat3,Meis2,Neurog2,Pde2a,Camk2b,Trp53,Parp1,Bcl11b,Arfgef1,Vim
Plxna4,Gnai2,Trim25,Folr1,Adcy1,Tubb3,Trpc5,Bmp7,Fezf2,Lamp5,Slc6a2,Cd2,Pou3f3,Wwp1,Shank1,Col3a1,Rhod,Cfl1,Efnb1,Crkl
Stmn2,Axin2,Flna,Tead1,Slc17a6,Kcnq2,Stx19,Ubc,Mest,Shh,Cldn16,Cd28,Prox1,Trpc1,Tubb3,Map2k1,Slit2,Fn1,Vim,Grin3a
Igfbpl1,Adgrg1,Tanc1,Chd6,Diablo,Grin1,Gpr17,P2ry12,Pax3,Slc18a3,Cd4,Il33,Mboat7,Sec22b,Unc13a,Dab2ip,Aqp4,Plxna4,Robo1,Bmp7
