0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Tcf7l2,Stxbp1,Atp1a2,Atp1a3,Plp1,Cdh5,Plp1,Atp1a1,Gad1,Gria1,Olig2,Gria1,Atp1a2,Cacnb4,Laptm5,Gng7,Gabbr1,Syt2,Zbtb20,Clic6,Ccdc153,Plp1
Atp1a3,Dnm1,Sparcl1,Mbp,Mbp,Sparcl1,Mag,Ngef,Atp1a3,Prkca,Sox10,Gria2,Sparcl1,Cdk6,Csf1r,Meis2,Snhg11,Gng10,Nfib,Prlr,Sox9,Mag
Lef1,Gria2,Htra1,Sparcl1,Gsn,Cldn5,Gsn,Grin1,Snhg11,Gria2,Gpr17,Dsp,Flna,Epb41l1,C1qb,Gnal,Gria1,Tubb3,Sox11,Kl,Vim,Cldn11
Snhg11,Grin1,Slc1a2,Calm1,Cldn11,Igf1r,Cldn11,Stx1a,Dnm1,Dnm1,Vcan,Zbtb20,Vim,Gnao1,P2ry12,Cplx2,Syt6,Atp6v1e1,Ptprs,Cldn2,Foxj1,Ubc
Rgs4,Stx1b,Slc6a11,Ubc,Mag,Sema7a,Mog,Cacna2d1,Stxbp1,Grin2a,Pdgfra,Epha7,Cdh5,Gng10,Tmem119,Gria1,Msi2,Creb1,Top2a,Syne2,Slc38a1,Tcf7l2
Ubc,Ngef,Atp1b2,Stxbp1,Mog,Apcdd1,Bin1,Grin2a,Cplx1,Zbtb20,Nlgn2,Grin2a,Syne2,Dlgap1,Hpgds,Plcb1,Syt9,Nr4a1,Nfia,Ubc,Clu,Gsn
Nsf,Cplx2,Aqp4,Dnm1,Gfap,Ptprm,Sox10,Arhgap32,Rab3a,Neurod6,Olig1,Ptprj,Pdgfrb,Cadm3,Cx3cr1,Grin1,Robo1,Pax2,Pou3f3,Atp1a1,Zbtb20,Mbp
Gabbr1,Calm1,Glul,Tcf7l2,Sox10,Lef1,Mbp,Gria2,Limk1,Epha6,Cntn1,Nfib,Ptprm,Atp6v0e2,Sall1,Ngef,Tcf7l2,Llgl1,Cenpf,Clu,Idh2,Bin1
Rgs16,Snhg11,Sox9,Cplx1,Bin1,Ptprb,Nfasc,Satb2,Nsf,Epha4,Mpzl1,Camk2b,Ptprb,Stxbp1,Pld4,Syt6,Nr4a2,Wnt5b,Ccnd2,Sox9,Aqp4,Gabbr1
Stxbp1,Syt1,Gjb6,Cldn16,Sema4d,Pecam1,Rhob,Dnm1,Erbb4,Epha7,Mbp,Cplx2,Zbtb20,Syt2,C1qa,Grik2,Ubc,Reln,Chd7,Dsp,Ubc,Cplx1
