4,14,3,15,18,5,7,21,0,16,2,17,22,9,11,19,6,1,10,13,23,20,12
Gria2,Pax6,Col3a1,Tubb3,Clic6,Gria1,Gria2,Trp73,Cntn2,Cx3cr1,Nr4a3,Cxcr4,Emx2,Neurod1,Mki67,Fgfr1,Dio2,Gfap,Olig2,Npy2r,Pdlim4,Ccdc153,Mbp
Neurod6,Vim,Cdh5,Gng10,Igfbp2,Erbb4,Neurod2,Cacna2d2,Rims1,Apoe,Tubb3,Neurog2,Tubb3,Tubb3,Cenpf,Zbtb20,Ccnd2,Llgl1,Sox10,Erbb4,Efhd2,Tubb3,Dhx16
Neurod2,Ccdc80,Sparcl1,Llgl1,Foxj1,Lhx6,Foxg1,Bin1,Slc6a3,Csf1r,Gria1,Gmnn,Mpped1,Gnao1,Top2a,Gria1,Hopx,Mdga1,Sdc3,Gria1,Slc4a4,Grik2,Alg13
Cntn2,Sox9,Lamb1,Pou3f3,Cdh3,Atp1a3,Robo1,Reln,S100b,Laptm5,Slit3,Ccnb1,Dcc,Pou3f3,Vim,Epb41l1,Tead1,Dcc,Cntn1,Ncam1,Sox4,Sema7a,Atp6v1g1
Sox11,Sox2,Pdgfra,Mdga1,Ptprm,Grik3,Cntn2,Nhlh2,Lamp5,Pld4,Robo1,Cd86,Pou3f3,Slc6a1,Pax6,Nfix,Nrn1,Pou3f3,Olig1,Gng2,Srgap1,Cldn5,Psen2
Grik2,Chd7,Vim,Lhx1,Bmp7,Cux2,Neurod6,Ccnd2,Omg,C1qb,Epb41l1,Pax6,Homer2,Cntn2,Cenpe,Neurod1,Lmnb2,Gnao1,Pdgfra,Slc32a1,Lhx6,Stxbp1,Gabra4
Cnr1,Gli3,Ubc,Cdk6,Clu,Cadm1,Tubb3,Cdh4,Fas,Efhd2,Camk2b,Sdc4,Socs7,Cnr1,Draxin,Srgap3,Nipbl,Pax2,Ptprz1,Gad1,Cux2,Bin1,Syt2
Nfasc,Pou3f3,Gnas,Pax2,Itpr1,Gad1,Sox11,Lhx5,Fbxo2,Ptprj,Gnao1,Clu,Pax2,Cadm3,Pou3f2,Neurod6,Igfbpl1,Gls2,Nptx2,Atp1a3,Plxna4,Zbtb20,Nfe2l2
Nfib,Rgma,Cldn5,Alg13,Kit,Slc6a1,Cnr1,Nfasc,Robo3,Gnai2,Gls2,Gnao1,Nrxn3,Unc5a,Pou3f3,Pomc,Ccdc80,Cd70,Kcnd2,Grin1,Cul1,Plxnb1,Atp6v1e1
Crmp1,Plxnb1,Pdgfrb,Syt2,Lef1,Epb41l1,Nfix,Cacna2d1,Cstb,Hpgds,Stmn2,Fam163b,Ntn3,Slc38a1,Rgma,Dnajc5,Apba1,Prex2,Grk3,Cadm1,Adgrg1,Draxin,Sema4d
Unc13a,Draxin,Atp1a2,Cadm3,Glul,Mpped1,Stxbp1,Lhx1,Cck,C1qa,Crmp1,Tuba4a,Syt6,Sema4d,Gli3,Epha8,Slc6a1,Adcy2,Vim,Dlgap1,Casp3,Cdh2,Nlgn1
Foxg1,Id4,Gnai2,Prex2,Syne2,Gad2,Satb2,Ndnf,Nr4a1,Tmem119,Tgfb2,Atp6v1c1,Plcb1,Clstn2,Nfix,Grin2b,Axin2,Lrp6,Nes,Gad2,Idh2,Lamp5,Pdgfrb
Plxna2,Mki67,Apcdd1,Homer2,Sox9,Slc32a1,Nfib,Vcan,Atp6v1f,Grk2,Nrp1,Ntng1,Cd8a,Grik2,Ncam1,Sema4f,Cplx2,Ntn3,Sox9,Syt1,Ptk2,Tigit,Apoe
Igfbpl1,Htra1,Mpzl1,Cd70,Ubc,Sox2,Plxna2,Kit,Best1,Itga9,Slitrk1,Gng5,Sema4b,Cd24a,Ctnnb1,Rara,Sall3,Sall3,Mest,Pik3ca,Gad1,Nfib,Rgs3
Zbtb20,Cdh2,Ptprm,Creb1,Msi2,Cacna1b,Nrp1,Srgap3,Slc18a3,C1qc,Gnai1,Six3,Epha3,Gabbr2,Fabp7,Unc13a,Pou3f3,Nr2e1,Nkx2-1,Mpped1,Meis2,Gnb3,Sema6d
Tubb3,Boc,Mest,Socs7,Gnas,Nxph1,Ptprs,Robo2,Itgav,Vsir,Gabra5,Chrna4,Nlgn1,Dnm1,Syne2,Gria2,Cadm3,Neo1,Gnai2,Grin2b,Ddx3x,Chrm2,Sema4c
Epha4,Sall1,Ephb4,Itgb2l,Idh2,Grik1,Ncam1,Stxbp1,Sema3d,P2ry13,Mag,Sp8,Cacna1a,Cacna2d1,Mfge8,Sox11,Mdh1,Cadm3,Lrrc4b,Epb41l1,Sema6a,Gng5,Mki67
Gria1,Mfge8,Tcf7l2,Wnt5b,Mest,Shank1,Robo2,Slitrk5,Gng8,Mrc1,Gria2,Dicer1,Diablo,Mapk3,Sox2,Elavl2,Hes1,Ntsr2,Cspg4,Stxbp1,Robo2,Dlg4,Grk3
Bhlhe22,Gnao1,Pecam1,Reln,Cntn1,Dlx2,Crmp1,Msi2,Wwp1,Ptgs1,Grik3,Nr4a2,Slitrk6,Plcb1,Atp1a1,Chat,Cdkn2c,Oprm1,Slitrk1,Crmp1,Rbfox2,Rac3,Lamb1
Ttc28,Axin2,Cldn11,Gnb5,Axin2,Arx,Mpped1,Fat3,Slc1a7,P2ry12,Pax2,Dhx16,Apoe,Prox1,Gnao1,Fubp1,Sox9,Aqp4,Atp6v0e2,Sox1,Lhx1,Folr1,Srgap1
Neurod1,Cenpf,Slc38a3,Sdc4,Cldn3,Crmp1,Atp1a3,Snhg11,Thrsp,Bin1,Cldn8,Slc17a6,Chd7,Plxna4,Ankrd11,Cdh9,Chd7,Sec22b,Gpr17,Dpysl2,Pecam1,Rras2,Neo1
