names,scores,logfoldchanges,pvals,pvals_adj,group,sample_id
Gria1,45.765392,4.060726,0.0,0.0,14,p30_R3_mut
Grin2a,44.112507,5.084433,0.0,0.0,14,p30_R3_mut
Camk2b,43.211178,3.8667328,0.0,0.0,14,p30_R3_mut
Nsf,42.533993,3.440309,0.0,0.0,14,p30_R3_mut
Dnm1,42.43456,3.0763144,0.0,0.0,14,p30_R3_mut
Grin1,42.15663,3.7761407,0.0,0.0,14,p30_R3_mut
Epha7,39.751263,5.332438,0.0,0.0,14,p30_R3_mut
Epha4,38.04573,3.995175,0.0,0.0,14,p30_R3_mut
Syp,37.393734,2.8308742,4.9398716820232296e-306,5.2691964608247785e-304,14,p30_R3_mut
Gria2,36.970284,2.9355793,3.4397017340936625e-299,3.302113664729916e-297,14,p30_R3_mut
Neurod2,36.900925,4.5583267,4.465669496798554e-298,3.8973115608423747e-296,14,p30_R3_mut
Stxbp1,36.400494,2.4373562,4.1808520566368726e-290,3.344681645309498e-288,14,p30_R3_mut
Frrs1l,35.583782,3.3629901,2.4962210974709396e-277,1.84336327197854e-275,14,p30_R3_mut
Unc13a,35.50488,3.0344665,4.132820818998937e-276,2.8339342758849855e-274,14,p30_R3_mut
Slc17a7,35.195152,3.223615,2.3718024503554046e-271,1.4230814702132427e-269,14,p30_R3_mut
Grin2b,33.377865,3.8418195,2.872715358457581e-244,1.5321148578440432e-242,14,p30_R3_mut
Plxna4,33.137707,3.735212,8.514645491187382e-241,4.30213666923152e-239,14,p30_R3_mut
Atp1a3,32.888504,2.1609504,3.2090458389198514e-237,1.5403420026815286e-235,14,p30_R3_mut
Zbtb20,31.59118,2.1551313,4.8799932941465683e-219,2.2308540773241455e-217,14,p30_R3_mut
Epha6,30.426998,4.889279,2.4143929871113802e-203,9.65757194844552e-202,14,p30_R3_mut
Gabbr2,29.773165,3.0761688,8.696328545923943e-195,3.339390161634794e-193,14,p30_R3_mut
Kcnq2,28.914124,2.62835,7.933392685612384e-184,2.820761843773292e-182,14,p30_R3_mut
Kcnd2,27.6644,3.6546733,1.873005088310673e-168,6.200292706131883e-167,14,p30_R3_mut
Srgap3,27.044004,2.0634952,4.492824855435503e-161,1.437703953739361e-159,14,p30_R3_mut
Sptan1,26.780426,1.9516546,5.463030819422191e-158,1.691777286014614e-156,14,p30_R3_mut
Prickle2,26.317352,2.09386,1.2140700800519012e-152,3.531840232878258e-151,14,p30_R3_mut
Nrp1,26.214428,2.8763256,1.8197476778034543e-151,5.138111090268577e-150,14,p30_R3_mut
Cacna1a,26.055168,2.5933044,1.1756331120955596e-149,3.224593678890677e-148,14,p30_R3_mut
Cadm3,26.022726,2.361252,2.739555564638268e-149,7.305481505702049e-148,14,p30_R3_mut
Camkk1,25.972176,3.670327,1.021557044034955e-148,2.6505263845231263e-147,14,p30_R3_mut
Snhg11,25.758663,2.5284898,2.577988772465183e-146,6.512813740964673e-145,14,p30_R3_mut
Prkca,25.376871,2.5877254,4.540836974618295e-142,1.117744486059888e-140,14,p30_R3_mut
Syn1,25.255312,2.0852861,9.902015874377345e-141,2.376483809850563e-139,14,p30_R3_mut
Slitrk5,25.094242,3.0196273,5.74775561318921e-139,1.345815948454059e-137,14,p30_R3_mut
Syt1,24.98428,2.532087,9.061032150818144e-138,2.0710930630441473e-136,14,p30_R3_mut
Slit3,24.959248,4.6565,1.6947135878728082e-137,3.783546614785805e-136,14,p30_R3_mut
Cacna1b,24.907827,2.9400122,6.120456327200528e-137,1.3353722895710244e-135,14,p30_R3_mut
Tanc1,24.850822,3.0639238,2.533412241998225e-136,5.358852536438885e-135,14,p30_R3_mut
Cx3cl1,24.736317,2.3074226,4.352000271006708e-135,8.889192042907318e-134,14,p30_R3_mut
Rab3a,24.22037,2.331014,1.3574997620640348e-129,2.6595913705744356e-128,14,p30_R3_mut
Gabra5,23.927498,4.054016,1.5850357039805913e-126,3.043268551642735e-125,14,p30_R3_mut
Arhgef9,23.863298,2.352272,7.369540037390258e-126,1.387207536449931e-124,14,p30_R3_mut
Ntrk3,23.447155,2.7742114,1.4132608455198045e-121,2.6090969455750238e-120,14,p30_R3_mut
Ptprs,23.211771,1.4425346,3.463076525057172e-119,6.2727423850092175e-118,14,p30_R3_mut
Unc5a,23.103306,3.8663862,4.2890155739044325e-118,7.624916575830103e-117,14,p30_R3_mut
Eef1a2,22.584723,1.5346707,6.12417927484564e-113,1.0498593042592527e-111,14,p30_R3_mut
Cntnap1,21.986069,1.8487463,3.9146195329619325e-107,6.593043423935887e-106,14,p30_R3_mut
Crmp1,21.8782,2.565823,4.190458514193563e-106,6.935931333837622e-105,14,p30_R3_mut
Atp6v0a1,21.772028,1.8485299,4.272935128816565e-105,6.952572412989665e-104,14,p30_R3_mut
Dlgap1,21.579018,1.6227349,2.8281499568303707e-103,4.525039930928593e-102,14,p30_R3_mut
Slc1a2,30.763582,2.9921575,8.049011977616473e-208,7.727051498511814e-205,6,p30_R3_mut
Htra1,30.621365,4.6902704,6.359773992246938e-206,3.05269151627853e-203,6,p30_R3_mut
Atp1a2,29.813223,2.897591,2.6329890529096474e-195,8.425564969310871e-193,6,p30_R3_mut
Glul,25.156809,2.732169,1.1904477256344186e-139,2.857074541522605e-137,6,p30_R3_mut
Apoe,23.320787,2.7182167,2.728257427891193e-120,5.238254261551091e-118,6,p30_R3_mut
Sparcl1,23.298338,1.9685969,4.6085986241280425e-120,7.373757798604867e-118,6,p30_R3_mut
Atp1b2,22.90261,3.107759,4.3760068937528473e-116,6.001380882861047e-114,6,p30_R3_mut
Ntsr2,22.666904,4.0303507,9.504537594488013e-114,1.1405445113385615e-111,6,p30_R3_mut
Clu,22.59744,3.0328507,4.5921752229419045e-113,4.898320237804698e-111,6,p30_R3_mut
Slc6a11,22.364069,3.1056807,8.810327425650806e-111,8.457914328624774e-109,6,p30_R3_mut
Camk2a,22.18726,2.1053364,4.5594502772438875e-109,3.9791566055946656e-107,6,p30_R3_mut
Gnao1,20.968296,1.882739,1.2775579366823751e-97,1.0220463493459e-95,6,p30_R3_mut
Aldoc,20.190779,3.451848,1.179889342261378e-90,8.713028989007098e-89,6,p30_R3_mut
Sfxn5,20.08495,2.3682406,9.99261814109235e-90,6.852081011034754e-88,6,p30_R3_mut
Shank1,18.423386,2.069635,8.529826797180484e-76,5.117896078308291e-74,6,p30_R3_mut
Pou3f3,17.361732,1.8881493,1.607968666501805e-67,9.08029364612784e-66,6,p30_R3_mut
Cxcl14,16.374348,3.6097095,2.9161274260357007e-60,1.5552679605523738e-58,6,p30_R3_mut
Aqp4,15.322306,2.710361,5.425783821098131e-53,2.7414486675022135e-51,6,p30_R3_mut
Grin2c,15.150163,4.5698514,7.557968078042465e-52,3.6278246774603834e-50,6,p30_R3_mut
Gfap,14.480688,1.7594175,1.6048280918424667e-47,7.336356991279849e-46,6,p30_R3_mut
Fgfr3,13.328178,4.3022146,1.587260749582927e-40,6.926228725452772e-39,6,p30_R3_mut
Cplx2,12.686119,1.16482,7.0598638287978195e-37,2.946725772019959e-35,6,p30_R3_mut
Sox9,12.615798,2.2138321,1.7279901268417723e-36,6.911960507367089e-35,6,p30_R3_mut
Gjb6,12.100004,3.3585885,1.0560529249703594e-33,3.620752885612661e-32,6,p30_R3_mut
Slc6a1,12.051157,2.2707937,1.9124700773615822e-33,6.119904247557063e-32,6,p30_R3_mut
Plxnb1,11.79988,2.0884497,3.90870494990462e-32,1.0721019291166957e-30,6,p30_R3_mut
Mfge8,11.118861,2.6647549,1.0156008473167473e-28,2.3779922278636034e-27,6,p30_R3_mut
Grm3,10.537731,2.157258,5.787812339990533e-26,1.2627954196342983e-24,6,p30_R3_mut
Id4,10.190553,2.3588214,2.185173379734895e-24,4.560361835968476e-23,6,p30_R3_mut
Sdc4,10.077227,2.5395045,6.966501534969972e-24,1.3933003069939943e-22,6,p30_R3_mut
