14,6,0,8,3,18,5,11,10,19,9,16,17,4,2,21,12,20,1,13
Gabbr2,Fgfr3,Sox2,Ncam1,Cdk5r2,Apoe,Mpzl1,Bin1,Sdc4,Ubc,Tnf,Syp,Epha2,Cacna2d2,Kcnc2,Flna,Gria1,Rapgef2,Cacna2d1,Camk2g
Kcnq2,Cplx2,Gabbr1,Sox2,Camk2b,Pax6,Plxna2,Efhd2,Glul,Vcam1,Rbp1,Eef1a2,Igf1r,Grin1,Srgap1,Stx5a,Cx3cl1,Cplx1,Limk2,Epb41l1
Kcnd2,Sox9,Cers2,Nfasc,Gnb1,Ubc,Glul,Plcg2,Adgrg1,March6,Syt9,Cux2,Sema3g,Srgap3,Rgs3,Tet2,Frrs1l,Kcnc1,Shank2,Ncam1
Srgap3,Gjb6,Ephb1,S100b,Sparcl1,Rgs3,Slc1a2,Itga9,Sfxn5,Pdgfrb,Gnb5,Rab3a,Rhob,Nlgn2,Wnt4,Gsn,Grin2b,Slc32a1,Cacna1b,Arhgef2
Sptan1,Slc6a1,Erbb4,C1ql1,Apba1,Pou3f2,Camk2a,Numb,Fxyd6,Slc38a3,Gngt1,Apba1,Acta2,Syt6,Ap2a1,Ntn4,Gnal,Psen1,Scrib,Mast3
Prickle2,Plxnb1,Scrib,Itga9,Gng7,Aqp4,Gnas,Glul,Gjb6,Fxyd6,Pnoc,Dnm1,Pdgfb,Sox1,Calb2,Zfp609,Cacna1b,Homer3,Tubb3,Plxna4
Nrp1,Mfge8,Cdk19,Sdc3,Adcy1,Trp73,Jam2,Trem2,Fgfr3,Axin2,Slc6a2,Lhx6,Arhgef12,Cd99l2,Bin1,Bmp4,Syt1,Grin1,Sv2a,Kcnq2
Cacna1a,Grm3,Dlg1,Chd7,Shank3,Nfib,Trim25,Gnai2,Pou3f3,Gnas,Pax3,Cnr1,Gnas,Slc32a1,Gabbr1,Rgs3,Cdk6,Stx1b,Efhd2,Arhgef9
Cadm3,Id4,Ptpn11,Srgap1,Stxbp1,Msi2,Atp1a2,Ssh2,Pax6,Flna,Cldn16,Cacnb4,Glul,Tiam1,Mbp,Fzd3,Gnao1,Frrs1l,Camk2g,Gng7
Camkk1,Sdc4,Rtn4,Slc1a1,Cntnap1,Meis2,Notum,Mfng,Slc6a1,Syne2,Kcnt2,Epb41l1,Efhd2,Limk2,Rab3a,Slc38a2,Epb41l3,Gnb1,Satb2,Cadm1
