0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Satb2,Ubc,Sparcl1,Snhg11,Grik3,Pdgfra,Gria1,Gng7,Cldn5,Nfib,Tcf7l2,Gria1,Calm1,Tcf7l2,Laptm5,Tubb3,Mbp,Atp1a2,Atp1a2,Foxj1,Clic6
Trpc4,Atp1a3,Slc6a11,Dnm1,Syt6,Olig2,Erbb4,Meis2,Cdh5,Zbtb20,Ubc,Zbtb20,Cplx2,Snhg11,Csf1r,Gng10,Plp1,Cdh5,Pdgfrb,Ccdc153,Cldn2
Bin1,Stxbp1,Atp1a2,Cadm1,Nfib,Sox10,Snhg11,Gria1,Apcdd1,Sox11,Atp1a3,Gria2,Crmp1,Srgap1,C1qb,Llgl1,Gpr17,Vim,Sema6d,Vim,Cdh3
Cacna2d1,Sparcl1,Aqp4,Gria1,Vcan,Gpr17,Grik1,Ngef,Sparcl1,Chd7,Slc17a6,Nrp1,Stmn2,Lef1,P2ry12,Cadm3,Tcf7l2,Bmp7,Sparcl1,Slc38a1,Dsp
Flna,Calm1,Ptprz1,Atp1a3,Dync1i1,Chd7,Gad1,Gnal,Ptprm,Nfia,Stxbp1,Grin2a,Stxbp1,Cntnap1,Hpgds,Creb1,Nfasc,Sparcl1,Rgs4,Msi2,Ubc
Crmp1,Ngfr,Fabp7,Stxbp1,Neurod2,Cntn1,Atp1a3,Syt6,Vim,Ptprs,Calm1,Neurod6,Gnb1,Slc17a6,Sall1,Syt2,Sox10,Cxcl12,Lamb1,Sox9,Atp1a1
Mef2c,Stx19,Htra1,Grik2,Gria2,Cspg4,Nxph1,Grik2,Pecam1,Pou3f3,Lef1,Epha4,Sptan1,Atp1a3,Cx3cr1,Pax2,Mpzl1,Col3a1,Cobll1,Zbtb20,Sox9
Epha4,Kcng4,Sox9,Grin1,Flna,Nlgn2,Dnm1,Cplx2,Gnai2,Syne2,Rgs3,Epha6,Tubb3,Grik2,Pld4,Trpc5,Itpr2,Axin2,Cspg4,Gfap,Igfbp2
Gria2,Slc6a3,Grm3,Cdh4,Grm3,Ptprz1,Lhx6,Gria2,Cd34,Ccnd2,Sdc3,Epha7,Atp1a3,Bin1,Mrc1,Glg1,Olig2,Kit,Itga4,Nfia,Clu
Plxna4,Cd8b1,Slc1a2,Pak3,Cdh2,Olig1,Ptprm,Flna,Lef1,Sox4,Gabbr1,Grik2,Map2,Dnm1,C1qa,Reln,Mag,Syne2,Flna,Trp73,Itpr1
