names,scores,logfoldchanges,pvals,pvals_adj,group,sample_id
Satb2,84.371605,4.8789377,0.0,0.0,0,p7_R1_mut
Trpc4,53.6288,3.7683167,0.0,0.0,0,p7_R1_mut
Bin1,42.11954,1.3813359,0.0,0.0,0,p7_R1_mut
Cacna2d1,39.582935,2.1470597,0.0,0.0,0,p7_R1_mut
Flna,39.141403,1.541244,0.0,0.0,0,p7_R1_mut
Crmp1,38.84628,1.4748199,0.0,0.0,0,p7_R1_mut
Mef2c,37.183502,3.6670742,1.2609105298156097e-302,1.7292487266042648e-300,0,p7_R1_mut
Epha4,36.937057,1.8280696,1.175358679889373e-298,1.4104304158672476e-296,0,p7_R1_mut
Gria2,36.421886,1.0793855,1.917506931205849e-290,2.0453407266195724e-288,0,p7_R1_mut
Plxna4,34.959763,1.9625307,9.202627374938818e-268,8.834522279941266e-266,0,p7_R1_mut
Srgap3,34.805294,1.3283858,2.0227928804332875e-265,1.7653465138326872e-263,0,p7_R1_mut
Pou3f3,32.986927,1.2811161,1.2507211253861708e-238,1.0005769003089367e-236,0,p7_R1_mut
Cux2,32.96887,2.8767204,2.2701008557467273e-238,1.6763821703975832e-236,0,p7_R1_mut
Tubb3,32.478683,1.2409183,2.1326817164057626e-231,1.4624103198210943e-229,0,p7_R1_mut
Neo1,31.62693,1.8328857,1.574530227934781e-219,1.0076993458782598e-217,0,p7_R1_mut
Pou3f2,30.804785,2.618283,2.2609775308284802e-208,1.356586518497088e-206,0,p7_R1_mut
Stxbp1,30.632616,0.81717056,4.504192160772589e-206,2.5435438084362856e-204,0,p7_R1_mut
Calm1,30.152456,0.8385804,9.959608575445009e-200,5.3117912402373386e-198,0,p7_R1_mut
Sema7a,29.65304,2.3761196,3.098846177592836e-193,1.5657328055205908e-191,0,p7_R1_mut
Grin2a,29.011566,2.0043535,4.7025190300824836e-185,2.2572091344395922e-183,0,p7_R1_mut
Stmn2,28.51083,0.94920087,8.599410844367813e-179,3.931159243139572e-177,0,p7_R1_mut
Grin1,27.656034,1.1212989,2.361417577332237e-168,1.0304367610177035e-166,0,p7_R1_mut
Ppp3cb,27.356907,0.98560166,8.937597572080894e-165,3.730475508346808e-163,0,p7_R1_mut
Lrrc4c,27.152245,1.6306428,2.382145186274789e-162,9.528580745099155e-161,0,p7_R1_mut
Mpped1,26.999086,2.433147,1.5148530517143672e-160,5.81703571858317e-159,0,p7_R1_mut
Stmn1,25.975445,1.3466101,9.383066678544908e-149,3.464516927462735e-147,0,p7_R1_mut
Neurod6,25.88602,2.1425788,9.569300659023785e-148,3.4024180120973456e-146,0,p7_R1_mut
Ptprs,25.818954,0.77482986,5.432678442371278e-147,1.8626326088130097e-145,0,p7_R1_mut
Ncam1,25.805834,0.9020057,7.626388097212398e-147,2.5245974390772074e-145,0,p7_R1_mut
Foxg1,25.6764,1.7802492,2.14519602955726e-145,6.864627294583232e-144,0,p7_R1_mut
Unc13a,24.893843,1.3933518,8.674772388909226e-137,2.6024317166727677e-135,0,p7_R1_mut
Slitrk5,24.865242,1.9338374,1.769278431164302e-136,5.146991799750696e-135,0,p7_R1_mut
Plcb1,24.460714,1.1408032,3.870648024584495e-132,1.092888854000328e-130,0,p7_R1_mut
Cadm3,23.749132,1.6953995,1.1216789362536918e-124,3.07660508229584e-123,0,p7_R1_mut
Grin2b,23.521242,1.6206387,2.473124419176914e-122,6.594998451138438e-121,0,p7_R1_mut
Nrcam,22.800474,1.1395541,4.535806657146313e-115,1.1768579434758e-113,0,p7_R1_mut
Robo2,21.712656,1.1371818,1.5578973550322326e-104,3.9357406863972194e-103,0,p7_R1_mut
Tet2,21.625755,0.92258763,1.0282199049373193e-103,2.531002842922632e-102,0,p7_R1_mut
Gng2,20.286844,0.87403893,1.680415156831695e-91,4.032996376396068e-90,0,p7_R1_mut
Rasgrf2,19.781052,2.9159627,4.335590883782532e-87,9.90992202007436e-86,0,p7_R1_mut
Stx1a,19.654371,1.4296865,5.3042966004018385e-86,1.1842150549734336e-84,0,p7_R1_mut
Gnao1,19.06568,0.6789339,4.869064457157613e-81,1.0623413361071155e-79,0,p7_R1_mut
Dnm1,18.797491,0.5146303,7.917493829804337e-79,1.6890653503582585e-77,0,p7_R1_mut
Sptan1,18.608753,0.5244078,2.728907469091677e-77,5.6951112398435e-76,0,p7_R1_mut
Ptprj,18.220648,0.6986969,3.539436451805934e-74,7.229487220709992e-73,0,p7_R1_mut
Dync1i1,18.126734,1.5155715,1.9606535765324866e-73,3.921307153064973e-72,0,p7_R1_mut
Gnai1,17.984941,0.8057721,2.5565870536752344e-72,5.008823615363725e-71,0,p7_R1_mut
Prkca,17.89392,0.8985152,1.3152124327017745e-71,2.525207870787407e-70,0,p7_R1_mut
Cacna1b,17.674572,1.3214474,6.58377962407325e-70,1.2392996939432e-68,0,p7_R1_mut
Nectin3,17.63582,2.3059072,1.3078366133584754e-69,2.4144675938925698e-68,0,p7_R1_mut
Ubc,50.6284,0.85354716,0.0,0.0,1,p7_R1_mut
Atp1a3,27.021193,0.7966701,8.331135860431248e-161,4.998681516258749e-159,1,p7_R1_mut
Stxbp1,14.607394,0.44120866,2.5197321132415502e-48,3.2688416604214705e-47,1,p7_R1_mut
Sparcl1,2.8882833,0.22495367,0.0038735076089667754,0.007928714935198517,1,p7_R1_mut
Calm1,0.6887567,0.40557528,0.49097638158012813,0.6050543341680655,1,p7_R1_mut
Ngfr,0.15430868,1.3557844,0.877366359260225,0.8979442482833859,1,p7_R1_mut
Stx19,0.009456316,1.0928526,0.9924550637739674,0.9928521309057208,1,p7_R1_mut
Kcng4,-0.008958645,1.0077176,0.9928521309057208,0.9928521309057208,1,p7_R1_mut
Slc6a3,-0.044960253,1.0369353,0.9641389906899195,0.9661518069544078,1,p7_R1_mut
Cd8b1,-0.06147202,0.9063586,0.9509832967932389,0.9539644356546597,1,p7_R1_mut
Tnf,-0.06256735,1.179016,0.9501110286530031,0.9539644356546597,1,p7_R1_mut
