2,1,3,9,6,10,11,5,0.0,0.1,0.2,20,19,0.3,13,16,17,22,18,8,7,21,23,0.4,12,4,15,14
Trpc4,Hes5,Cobll1,Ttc28,Atp1b2,Fabp7,Dlx1,Grin1,Sdc1,Epha7,Gap43,Zbtb20,Sema6d,Foxg1,Grin2b,Ptgs1,Grik2,Neurod1,Apoe,Sema5a,Ptprs,Srgap3,Pou3f2,Epha4,Rgs3,Cdh2,Creb1,C1ql3
Rasgrp1,Pax6,Sema6d,Nrp2,Slc6a11,Nxph1,Ccdc88a,Bin1,Atp6v1b1,Rasgrp1,Nsf,Cadm1,Zfp609,Ttc28,Frrs1l,Efhd2,Pou3f3,Sox9,Cntn1,Tiam1,Stx1b,Kit,Hopx,Sema4f,Omg,Chd2,Kcnj3,Cacng5
Bin1,Gnao1,Slc38a2,Nrp1,Sox2,Gria2,Dlx2,Cnr1,Gng11,Snhg11,Syn1,S100b,Nectin1,Asxl3,Syt1,C1qc,Ppp3cb,Gfap,Unc13b,C1ql3,Robo2,Clstn2,Cdh2,Cntnap2,Plcg2,Stx5a,Ntn1,Rock2
Neurod2,Id4,Nes,Neurod2,Pax6,Sox2,Tead1,Rab3a,Vip,Gnai1,Gabra5,Tead1,Lrp8,Nectin1,Trpc4,Glul,Rab3a,Mfge8,Igf1r,Fam163b,Sox11,Cacna2d2,Gabbr1,Sema7a,Parp1,Cadm3,Dnm3,Emx2
Stmn2,Sfxn5,Lrp8,Neo1,Tnfrsf19,Omg,Sp8,Nxph1,Hoxa9,Pak3,Slc17a7,Cd24a,Neo1,Cdh2,Camk2b,Itga9,Prkca,Prox1,Ccdc141,Nfib,Mpped1,Cacna1a,Sfxn5,Mdga1,Tuba1a,Mpped1,Slc1a1,Eomes
Robo1,Ccdc80,Ccdc141,Mex3a,Sfxn5,Tcf7l2,Nfia,Gng2,Slc6a2,Srgap1,Syp,Slc25a18,Asxl3,Grik2,Nrp1,Gnai2,Dnm1,Chd7,Kit,Gria2,Grin2b,Nfasc,Chd7,Stmn2,Olig2,Pou3f3,Unc13c,Skp2
Prkca,Rgma,Itga4,Grik2,Nfia,Bmp7,Vcan,Ncam1,Grm4,Calm1,Gabbr2,Ngef,Neurod2,Dcc,Calm1,Itgb2,Nrp1,Apoe,Folr1,Grik2,Plxna4,Camk2a,Sox9,Gng3,Csf1r,Plcb1,Prex2,Gjb6
Slit3,Kcnip3,Axin2,Bin1,Hes5,Atp1a2,Nfix,Tubb3,Grin2c,Gabra5,Epb41l1,Meis2,Ttc28,Neurod2,Nectin3,Vsir,Huwe1,Msi2,Lrp6,Dlgap1,Asxl3,Slc2a13,Ngef,Plcb1,Srgap1,Ankrd11,Adgrg1,Sp8
Kcnd2,Clu,Ctnnb1,Nectin1,Kcnip3,Mbp,Cdh2,Limk1,Nfatc4,Sptan1,Gnai1,Jam3,Stmn1,Ptk2,Cadm1,Tgfbr1,Gabbr2,Cdh2,Gsn,Bin1,Sema7a,Dnm1,Ccdc80,Ppp3cb,Mog,Zbtb20,Kcnh7,Slc35f1
Frrs1l,Aldh1l1,Arhgef12,Foxg1,Id4,Cux2,Sall1,Adcy2,Gzmb,Nrp1,Eef1a2,Sall1,Foxg1,Limk1,Srgap3,Srgap2,Gnai1,Slc6a1,Six3,Neurod2,Pak3,Lhx1,Clu,March6,Apba1,Nfasc,Dnm1,Cenpe
Calm1,Pou3f2,Col3a1,Lrp8,Nfib,Mpzl1,Id4,Gabbr2,Robo3,Frrs1l,Stx1b,Trp73,Ntrk3,Lamb1,Ptprj,Ptprc,Tubb3,Sfxn5,Flna,Stxbp6,Camk2b,Aqp4,Aldh1l1,Nrcam,Dpysl2,Fbxo45,Dock7,Raf1
