2,1,0,3,9,6,10,11,5,20,19,13,16,17,22,18,8,7,21,23,12,4,15,14
Nectin3,Slc1a3,Camk2b,Itgb1,Sema6d,Gnao1,Nlgn3,Btg1,Cacna1b,Srgap3,Sox4,Gabra5,Gfap,Neurod6,Slc6a11,Ccnd2,Cplx2,Nfasc,Fat3,Id4,Sema4d,Lamb1,Epha3,Ccna2
Trpc4,Hes5,Gap43,Cobll1,Ttc28,Atp1b2,Fabp7,Dlx1,Grin1,Zbtb20,Sema6d,Grin2b,Ptgs1,Grik2,Neurod1,Apoe,Sema5a,Ptprs,Srgap3,Pou3f2,Rgs3,Cdh2,Creb1,C1ql3
Rasgrp1,Pax6,Grin1,Sema6d,Nrp2,Slc6a11,Nxph1,Ccdc88a,Bin1,Cadm1,Zfp609,Frrs1l,Efhd2,Pou3f3,Sox9,Cntn1,Tiam1,Stx1b,Kit,Hopx,Omg,Chd2,Kcnj3,Cacng5
Bin1,Gnao1,Gnai1,Slc38a2,Nrp1,Sox2,Gria2,Dlx2,Cnr1,S100b,Nectin1,Syt1,C1qc,Ppp3cb,Gfap,Unc13b,C1ql3,Robo2,Clstn2,Cdh2,Plcg2,Stx5a,Ntn1,Rock2
Neurod2,Id4,Neurod2,Nes,Neurod2,Pax6,Sox2,Tead1,Rab3a,Tead1,Lrp8,Trpc4,Glul,Rab3a,Mfge8,Igf1r,Fam163b,Sox11,Cacna2d2,Gabbr1,Parp1,Cadm3,Dnm3,Emx2
Stmn2,Sfxn5,Trpc5,Lrp8,Neo1,Tnfrsf19,Omg,Sp8,Nxph1,Cd24a,Neo1,Camk2b,Itga9,Prkca,Prox1,Ccdc141,Nfib,Mpped1,Cacna1a,Sfxn5,Tuba1a,Mpped1,Slc1a1,Eomes
Robo1,Ccdc80,Syp,Ccdc141,Mex3a,Sfxn5,Tcf7l2,Nfia,Gng2,Slc25a18,Asxl3,Nrp1,Gnai2,Dnm1,Chd7,Kit,Gria2,Grin2b,Nfasc,Chd7,Olig2,Pou3f3,Unc13c,Skp2
Prkca,Rgma,Nsf,Itga4,Grik2,Nfia,Bmp7,Vcan,Ncam1,Ngef,Neurod2,Calm1,Itgb2,Nrp1,Apoe,Folr1,Grik2,Plxna4,Camk2a,Sox9,Csf1r,Plcb1,Prex2,Gjb6
Slit3,Kcnip3,Hcn1,Axin2,Bin1,Hes5,Atp1a2,Nfix,Tubb3,Meis2,Ttc28,Nectin3,Vsir,Huwe1,Msi2,Lrp6,Dlgap1,Asxl3,Slc2a13,Ngef,Srgap1,Ankrd11,Adgrg1,Sp8
Kcnd2,Clu,Grin2b,Ctnnb1,Nectin1,Kcnip3,Mbp,Cdh2,Limk1,Jam3,Stmn1,Cadm1,Tgfbr1,Gabbr2,Cdh2,Gsn,Bin1,Sema7a,Dnm1,Ccdc80,Mog,Zbtb20,Kcnh7,Slc35f1
Frrs1l,Aldh1l1,Cck,Arhgef12,Foxg1,Id4,Cux2,Sall1,Adcy2,Sall1,Foxg1,Srgap3,Srgap2,Gnai1,Slc6a1,Six3,Neurod2,Pak3,Lhx1,Clu,Apba1,Nfasc,Dnm1,Cenpe
Calm1,Pou3f2,Robo1,Col3a1,Lrp8,Nfib,Mpzl1,Id4,Gabbr2,Trp73,Ntrk3,Ptprj,Ptprc,Tubb3,Sfxn5,Flna,Stxbp6,Camk2b,Aqp4,Aldh1l1,Dpysl2,Fbxo45,Dock7,Raf1
