,Cluster_2,Cluster_3,Cluster_4,Cluster_6,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_17,Cluster_19,Cluster_21
Cluster_2,1.0,0.6598570959930689,0.6412610904814208,0.1521529914678133,0.30317251738797457,0.8249064215620296,0.7136819379152525,0.08744999819298059,0.2382560427643019,0.09926010690542722,0.4939048792153389
Cluster_3,0.6598570959930689,1.0,0.7146550313181852,0.26536739846432666,0.5889585798709456,0.8438461303435519,0.6301708080658757,0.15619608063002727,0.4009582190879432,0.19414160241234052,0.7900028274281095
Cluster_4,0.6412610904814207,0.7146550313181853,1.0,0.28080068652845075,0.48801527252051907,0.7470860681034471,0.6227211636469053,0.1919243133786897,0.39571815589253506,0.2080498432386449,0.6790204450198073
Cluster_6,0.15215299146781333,0.2653673984643267,0.2808006865284507,0.9999999999999998,0.32068063440351463,0.22783528866138666,0.18040371475944678,0.5761152553571285,0.33397996628510873,0.37062610105662636,0.31764172790017026
Cluster_11,0.30317251738797457,0.5889585798709456,0.488015272520519,0.32068063440351463,1.0,0.43726621283895906,0.3224022212086593,0.2735239129691763,0.7180622453149123,0.3435104648359959,0.7099257859073392
Cluster_12,0.8249064215620295,0.8438461303435518,0.7470860681034471,0.2278352886613867,0.437266212838959,1.0,0.643536229702061,0.13269631549831498,0.3273078884567673,0.14872956478936,0.7097242311035765
Cluster_13,0.7136819379152525,0.6301708080658757,0.6227211636469053,0.1804037147594468,0.3224022212086593,0.6435362297020609,1.0,0.11870700627274719,0.2628620901080379,0.12165196125704553,0.5129414963092501
Cluster_14,0.08744999819298059,0.15619608063002727,0.1919243133786897,0.5761152553571285,0.27352391296917633,0.13269631549831498,0.11870700627274718,1.0,0.3295342765237443,0.38998871856644907,0.24311665377368993
Cluster_17,0.23825604276430193,0.40095821908794327,0.39571815589253506,0.33397996628510873,0.7180622453149123,0.3273078884567673,0.26286209010803785,0.3295342765237443,1.0,0.5446477757651815,0.5987674694211634
Cluster_19,0.09926010690542723,0.19414160241234055,0.2080498432386449,0.3706261010566263,0.3435104648359959,0.14872956478936,0.12165196125704551,0.38998871856644907,0.5446477757651815,1.0,0.2674348520708642
Cluster_21,0.4939048792153389,0.7900028274281095,0.6790204450198073,0.31764172790017026,0.7099257859073392,0.7097242311035765,0.5129414963092501,0.24311665377368993,0.5987674694211633,0.26743485207086426,1.0
