2,3,4,6,11,12,13,14,17,19,21
Cadm1,Sox11,Tubb3,Sparcl1,Pax6,Cntn2,Gria1,Pdgfra,Axin2,Clic6,Dcc
Grik3,Robo2,Ndrg4,Cldn5,Sall1,Gria2,Lhx6,Col3a1,Rspo3,Igfbp2,Chd7
Atp1a3,Ptprs,Dlx2,Cdh5,Pou3f3,Nrp1,Erbb4,Atp1a2,Apcdd1,Cdh3,Ptprs
Dync1i1,Plxna4,Dlx1,Apcdd1,Vim,Neurod2,Cux2,Lamb1,Atp1a1,Foxj1,Slc17a6
Adcy1,Neurod2,Slc18a3,Pecam1,Mki67,Neurod6,Grik3,Cdh5,Mest,Bmp7,Plcb1
Grin2b,Meis2,Snhg11,Gnai2,Rgma,Bhlhe22,Atp1a3,Sparcl1,Sox9,Itpr1,Ntng2
Fezf2,Mpped1,Pla2g4d,Cd34,Sox9,Nr4a3,Nxph1,Cldn11,Sox2,Mest,Vcan
Bcl11b,Igfbpl1,Mrc1,Sema6d,Ccdc80,Robo1,Slc32a1,Bmp7,Erbb4,Clu,Nhlh2
Camk2b,Satb2,Ascl2,Ptprm,Boc,Tubb3,Epb41l1,Wnt4,Ccdc80,Sox9,Cacna1a
Neurod2,Pou3f3,Cplx3,Mpzl1,Htra1,Crmp1,Mpped1,Cxcl12,Bmp7,Cntn1,Zbtb20
