names,scores,logfoldchanges,pvals,pvals_adj,group,sample_id
Cadm1,23.711952,3.1926343,2.7147101906891947e-124,2.606121783061627e-121,2,e16_R2_ctrl
Grik3,20.934908,4.4486766,2.5756197804678353e-97,1.236297494624561e-94,2,e16_R2_ctrl
Atp1a3,20.101494,2.6719658,7.160632492576102e-90,1.7185517982182644e-87,2,e16_R2_ctrl
Dync1i1,19.292858,5.7556105,6.166856248276855e-83,1.1840363996691563e-80,2,e16_R2_ctrl
Adcy1,18.92007,4.255501,7.795000554456693e-80,1.2472000887130708e-77,2,e16_R2_ctrl
Grin2b,17.757761,3.6938236,1.5010415202938157e-70,2.0585712278315186e-68,2,e16_R2_ctrl
Fezf2,17.52429,3.4087965,9.350178985593617e-69,1.122021478271234e-66,2,e16_R2_ctrl
Bcl11b,17.50405,3.3633893,1.33436452114289e-68,1.4233221558857494e-66,2,e16_R2_ctrl
Camk2b,17.375868,2.9588666,1.2568895323981171e-67,1.2066139511021924e-65,2,e16_R2_ctrl
Neurod2,17.290987,2.3490615,5.500162860741452e-67,4.800142133010722e-65,2,e16_R2_ctrl
Gria2,17.01588,1.9014436,6.262543694755343e-65,5.010034955804274e-63,2,e16_R2_ctrl
Slitrk1,16.898918,3.1667938,4.582329547820394e-64,2.9326909106050522e-62,2,e16_R2_ctrl
Srgap1,16.858212,2.2203324,9.13097201343814e-64,5.478583208062884e-62,2,e16_R2_ctrl
Nlgn1,16.384476,3.842856,2.4688775179529993e-60,1.394189657196988e-58,2,e16_R2_ctrl
Epb41l1,16.012337,2.2543373,1.0479803544255495e-57,5.295058632886987e-56,2,e16_R2_ctrl
Robo1,15.364132,2.0382512,2.8482765117543745e-53,1.3671727256420998e-51,2,e16_R2_ctrl
Gria1,15.082258,1.9112874,2.1189534199729533e-51,9.686644205590645e-50,2,e16_R2_ctrl
Stxbp1,14.806699,1.5871563,1.3259337796471198e-49,5.785892856641978e-48,2,e16_R2_ctrl
Syt6,14.57881,4.454425,3.831384620194438e-48,1.5991866240811566e-46,2,e16_R2_ctrl
Cntn1,14.45249,3.0682502,2.4178606780533277e-47,9.67144271221331e-46,2,e16_R2_ctrl
Tbr1,14.234918,2.755584,5.562842806892963e-46,2.1361316378468978e-44,2,e16_R2_ctrl
Nr4a3,14.114122,3.270496,3.108604727364996e-45,1.147792514719383e-43,2,e16_R2_ctrl
Cacna1b,13.954171,1.9732684,2.967295945411635e-44,1.0173586098554176e-42,2,e16_R2_ctrl
Dnm1,13.84392,2.0262892,1.3844645649351208e-43,4.5830551115093655e-42,2,e16_R2_ctrl
Plxna2,13.5723915,1.5451003,5.838524058621004e-42,1.8683276987587213e-40,2,e16_R2_ctrl
Crmp1,13.554406,1.6990024,7.461320179923775e-42,2.3106023782989754e-40,2,e16_R2_ctrl
Sema4g,13.462365,2.079954,2.6044280630682695e-41,7.81328418920481e-40,2,e16_R2_ctrl
Bin1,12.221236,1.3006009,2.394164154560829e-34,6.964841176904229e-33,2,e16_R2_ctrl
Neurod6,11.985454,1.7427263,4.235209837228409e-33,1.1293892899275758e-31,2,e16_R2_ctrl
Shank1,11.902123,2.3419256,1.1537394401593187e-32,2.993486115007962e-31,2,e16_R2_ctrl
Stmn2,11.841035,1.8157426,2.3947916209011932e-32,6.004863735983037e-31,2,e16_R2_ctrl
Apba1,11.839484,2.3289123,2.439475892743109e-32,6.004863735983037e-31,2,e16_R2_ctrl
Mpped1,10.987718,1.4390122,4.378567454530065e-28,1.0008154181783006e-26,2,e16_R2_ctrl
Grk3,10.969732,2.6170623,5.343013382441781e-28,1.192858801661421e-26,2,e16_R2_ctrl
Kcnq3,10.73285,2.0319064,7.136030941277445e-27,1.5569522053696244e-25,2,e16_R2_ctrl
Tubb3,10.645432,1.2287744,1.831313697309441e-26,3.9068025542601406e-25,2,e16_R2_ctrl
Pak3,10.405337,1.9182401,2.3442539306645502e-25,4.892356029212974e-24,2,e16_R2_ctrl
Ncam1,10.387577,1.2206875,2.8243673957549934e-25,5.768920638137859e-24,2,e16_R2_ctrl
Dab1,10.31682,2.6645777,5.915001944143514e-25,1.1830003888287027e-23,2,e16_R2_ctrl
Dlgap1,10.287727,2.5246758,8.004320061873202e-25,1.568193318244546e-23,2,e16_R2_ctrl
Eef1a2,10.053805,2.64285,8.8387015462844e-24,1.6317602854678893e-22,2,e16_R2_ctrl
Nrcam,9.960975,2.9077883,2.258370268287569e-23,4.014880476955678e-22,2,e16_R2_ctrl
Cnr1,9.944455,1.2461697,2.666281159979215e-23,4.653872570145539e-22,2,e16_R2_ctrl
Slitrk5,9.930614,1.7962761,3.0636280788698944e-23,5.251933849491247e-22,2,e16_R2_ctrl
Prickle2,9.738244,2.279206,2.0710148881846284e-22,3.488025074837269e-21,2,e16_R2_ctrl
Trpc5,9.725023,3.8760314,2.3585191124658925e-22,3.903755772357339e-21,2,e16_R2_ctrl
Kit,9.660073,1.6505853,4.4554686943301735e-22,7.249576180605029e-21,2,e16_R2_ctrl
Gls,9.602142,2.0709124,7.829997295809888e-22,1.232261869504507e-20,2,e16_R2_ctrl
Kcnq2,9.455919,1.5740048,3.2019510376756956e-21,4.879163485982012e-20,2,e16_R2_ctrl
Cdh2,9.227804,0.87434816,2.762355596051867e-20,4.0797867264766037e-19,2,e16_R2_ctrl
Sox11,14.019664,1.554151,1.181729928851109e-44,1.1344607316970646e-41,3,e16_R2_ctrl
Robo2,13.462184,2.6453476,2.610837547871178e-41,1.2532020229781654e-38,3,e16_R2_ctrl
Ptprs,13.012072,1.1488912,1.0447038860106028e-38,3.343052435233929e-36,3,e16_R2_ctrl
Plxna4,12.446322,2.3552973,1.464393394633346e-35,3.51454414712003e-33,3,e16_R2_ctrl
